binder_name,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture Raji,coculture RPMI 8226,Donor
UTD,2.45,4.28,4.6,5,5.12,1
NB,4.78,7.06,12.4,17.5,9.17,1
B2,4.24,6.38,64.9,26.2,44.9,1
B4,20.3,21.7,50.5,31.7,34.7,1
B5,11.2,14.1,75.7,45.1,45.7,1
Abecma,3.71,6.23,82.4,53,51.5,1
B5.I0,4.42,9.09,91.4,63.6,62.2,1
B5.N6,3.6,4.65,6.3,9.87,6.63,1
UTD,3.07,5.27,5.53,4.22,5.41,2
NB,4.39,6.32,8.45,9.91,7.92,2
B2,2.52,5.04,45.3,7.59,22,2
B4,16.2,16.1,41.2,20.2,28.9,2
B5,6.86,11.3,71.5,38.5,40.8,2
Abecma,4.18,8.11,68,29.5,35.7,2
B5.I0,3.48,5.64,79.8,52.5,52.4,2
B5.N6,4.16,5.53,7.19,7.65,7.88,2
UTD,2.28,2.64,6.4,7.83,5.62,3
NB,2.31,3.49,22.7,15.8,11.2,3
B2,1.57,1.65,60.6,22.7,48.2,3
B5,3.13,4.62,83.3,45.8,55.2,3
Abecma,2.3,3.2,85.8,53.1,50.7,3
B5.I0,2,3.64,89.3,66.3,62.1,3
B5.N6,2.63,2.76,11.7,11.9,9.25,3
