cytokine,construct,target,rep1,rep2,rep3,donor
TNFa,UTD,CAR alone,0,0,0,1
TNFa,UTD,K562 mC,0,0,0,1
TNFa,UTD,K BCMA mC,0,0,0,1
TNFa,UTD,Raji,0,0,0,1
TNFa,UTD,RPMI mC,0,0,106.686,1
TNFa,NB,CAR alone,0,0,0,1
TNFa,NB,K562 mC,0,0,0,1
TNFa,NB,K BCMA mC,0,0,0,1
TNFa,NB,Raji,0,0,237.246,1
TNFa,NB,RPMI mC,0,0,0,1
TNFa,Abecma,CAR alone,0,0,98.95,1
TNFa,Abecma,K562 mC,0,0,0,1
TNFa,Abecma,K BCMA mC,5403.538,5259.64,5297.269,1
TNFa,Abecma,Raji,1621.364,1548.489,1702.354,1
TNFa,Abecma,RPMI mC,2108.046,2125.633,2149.431,1
TNFa,B2,CAR alone,0,0,167.315,1
TNFa,B2,K562 mC,0,0,0,1
TNFa,B2,K BCMA mC,1662.469,1617.84,1764.781,1
TNFa,B2,Raji,0,0,246.331,1
TNFa,B2,RPMI mC,649.838,636.206,781.853,1
TNFa,B5,CAR alone,0,0,97.29,1
TNFa,B5,K562 mC,0,0,92.3,1
TNFa,B5,K BCMA mC,6391.229,5605.717,6101.959,1
TNFa,B5,Raji,998.389,924.416,1143.385,1
TNFa,B5,RPMI mC,2045.916,1984.966,2162.302,1
IFNG,UTD,CAR alone,0,16.807,43.28,1
IFNG,UTD,K562 mC,0,20.703,44.62,1
IFNG,UTD,K BCMA mC,0,14.229,39.28,1
IFNG,UTD,Raji,0,18.362,41.181,1
IFNG,UTD,RPMI mC,30.519,96.485,82.777,1
IFNG,NB,CAR alone,0,10.652,0,1
IFNG,NB,K562 mC,0,0,0,1
IFNG,NB,K BCMA mC,0,0,0,1
IFNG,NB,Raji,0,92.612,54.859,1
IFNG,NB,RPMI mC,0,0,0,1
IFNG,Abecma,CAR alone,0,0,0,1
IFNG,Abecma,K562 mC,0,0,0,1
IFNG,Abecma,K BCMA mC,2244.608,2191.648,2112.533,1
IFNG,Abecma,Raji,634.196,615.812,582.904,1
IFNG,Abecma,RPMI mC,1552.313,1492.654,1478.119,1
IFNG,B2,CAR alone,0,0,43.663,1
IFNG,B2,K562 mC,0,0,0,1
IFNG,B2,K BCMA mC,437.001,432.713,413.808,1
IFNG,B2,Raji,0,52.653,67.421,1
IFNG,B2,RPMI mC,342.59,312.172,319.765,1
IFNG,B5,CAR alone,0,9.638,47.501,1
IFNG,B5,K562 mC,0,0,47.501,1
IFNG,B5,K BCMA mC,1526.237,1399.665,1270.626,1
IFNG,B5,Raji,203.896,192.901,206.432,1
IFNG,B5,RPMI mC,750.189,686.528,725.524,1
IL-2,UTD,CAR alone,6.437,0,0,1
IL-2,UTD,K562 mC,23.685,0,0,1
IL-2,UTD,K BCMA mC,0,0,0,1
IL-2,UTD,Raji,0,0,0,1
IL-2,UTD,RPMI mC,0,0,0,1
IL-2,NB,CAR alone,21.205,0,0,1
IL-2,NB,K562 mC,0,0,0,1
IL-2,NB,K BCMA mC,0,0,0,1
IL-2,NB,Raji,33.005,0,0,1
IL-2,NB,RPMI mC,0,0,0,1
IL-2,Abecma,CAR alone,39.305,0,0,1
IL-2,Abecma,K562 mC,0,0,0,1
IL-2,Abecma,K BCMA mC,3461.085,3272.014,3269.119,1
IL-2,Abecma,Raji,814.859,813.342,765.749,1
IL-2,Abecma,RPMI mC,796.966,693.322,653.547,1
IL-2,B2,CAR alone,58.882,0,0,1
IL-2,B2,K562 mC,0,0,0,1
IL-2,B2,K BCMA mC,487.544,575.875,602.768,1
IL-2,B2,Raji,30.566,0,0,1
IL-2,B2,RPMI mC,116.922,117.622,73.477,1
IL-2,B5,CAR alone,17.708,0,0,1
IL-2,B5,K562 mC,0,0,0,1
IL-2,B5,K BCMA mC,3645.279,3915.96,3762.72,1
IL-2,B5,Raji,417.765,443.337,429.414,1
IL-2,B5,RPMI mC,719.75,695.268,749.84,1
GranzymeB,UTD,CAR alone,13.186,16.395,19.482,1
GranzymeB,UTD,K562 mC,18.613,14.639,23.892,1
GranzymeB,UTD,K BCMA mC,16.668,23.524,21.396,1
GranzymeB,UTD,Raji,17.608,27.715,23.334,1
GranzymeB,UTD,RPMI mC,141.728,156.178,144.729,1
GranzymeB,NB,CAR alone,0,11.715,12.096,1
GranzymeB,NB,K562 mC,16.203,19.478,18.184,1
GranzymeB,NB,K BCMA mC,16.151,18.444,18.507,1
GranzymeB,NB,Raji,23.383,23.595,26.934,1
GranzymeB,NB,RPMI mC,23.778,23.102,22.611,1
GranzymeB,Abecma,CAR alone,10.144,10.149,14.47,1
GranzymeB,Abecma,K562 mC,13.382,15.717,14.627,1
GranzymeB,Abecma,K BCMA mC,1683.604,1609.39,1762.285,1
GranzymeB,Abecma,Raji,720.081,674.738,620.731,1
