elapsed_hours,cellline,donor,NB,Abecma,X561726_WT,int_1525,nonint_0366
0,K562,donor1,100,100,100,100,100
4,K562,donor1,118.0819,116.3079,116.48,116.1397,119.3361
8,K562,donor1,134.2341,131.841,130.931,133.4493,138.0965
12,K562,donor1,150.3916,149.9377,146.8841,150.4336,158.573
16,K562,donor1,169.9191,169.6189,165.0539,172.622,184.6043
20,K562,donor1,193.636,192.1957,189.1496,195.1917,215.4979
24,K562,donor1,229.0887,226.2866,225.7933,229.4566,256.014
28,K562,donor1,268.5283,261.2164,262.3112,272.0862,302.4565
32,K562,donor1,312.3034,303.6848,303.8132,321.4278,354.7238
36,K562,donor1,361.0406,357.9415,347.5082,381.1891,415.7989
40,K562,donor1,429.491,420.2776,408.274,450.6077,495.8302
44,K562,donor1,502.2623,493.9347,483.5739,524.1965,592.866
48,K562,donor1,600.403,590.6972,577.3411,619.8931,714.1436
52,K562,donor1,703.7756,695.8171,664.6124,728.6046,848.0914
56,K562,donor1,805.9677,805.6663,773.495,839.3409,992.1472
60,K562,donor1,934.5168,944.8415,897.3831,961.2882,1156.98
64,K562,donor1,1126.2,1094.17,1026.987,1114.041,1338.743
68,K562,donor1,1300.94,1275.088,1178.543,1270.166,1551.827
72,K562,donor1,1475.537,1464.194,1340.694,1449.276,1822.194
0,K562 BCMA,donor1,100,100,100,100,100
4,K562 BCMA,donor1,119.3361,119.5672,119.4886,115.2079,117.1194
8,K562 BCMA,donor1,138.0965,135.155,135.8403,129.5602,133.8131
12,K562 BCMA,donor1,158.573,152.1984,154.387,143.3362,155.8382
16,K562 BCMA,donor1,184.6043,169.3652,175.9845,156.5944,180.9362
20,K562 BCMA,donor1,215.4979,188.0821,196.7419,173.3218,212.6522
24,K562 BCMA,donor1,256.014,217.4969,226.7262,189.0517,254.2831
28,K562 BCMA,donor1,302.4565,240.7538,258.145,203.1335,299.1388
32,K562 BCMA,donor1,354.7238,267.5332,287.7215,214.8588,357.9921
36,K562 BCMA,donor1,415.7989,292.0254,325.0443,222.3963,421.7667
40,K562 BCMA,donor1,495.8302,325.871,360.7142,231.8547,511.6238
44,K562 BCMA,donor1,592.866,351.424,403.957,248.8215,605.9783
48,K562 BCMA,donor1,714.1436,399.658,459.9827,268.4013,743.7747
52,K562 BCMA,donor1,848.0914,436.7636,509.625,275.2145,886.3381
56,K562 BCMA,donor1,992.1472,470.3437,571.0381,289.8055,1036.277
60,K562 BCMA,donor1,1156.98,508.2562,619.7454,303.1982,1196.908
64,K562 BCMA,donor1,1338.743,538.2499,669.0847,322.4855,1387.943
68,K562 BCMA,donor1,1551.827,575.3231,713.4207,345.2848,1629.516
72,K562 BCMA,donor1,1822.194,592.5699,749.4014,353.708,1848.834
0,Raji,donor1,100,100,100,100,100
