elapsed_hours,cellline,donor,NB,Abecma,X561726_WT,int_1525,nonint_0366
0,K562,donor1,0,0,0,0,0
4,K562,donor1,1.938171,0.7768651,0.4687732,0.8197103,0.3597116
8,K562,donor1,2.593396,0.9445846,0.8867517,1.64939,0.5184667
12,K562,donor1,2.737743,1.493577,1.940704,2.225065,0.9057676
16,K562,donor1,3.701005,1.878187,2.358605,3.736072,1.599425
20,K562,donor1,4.108174,2.690258,3.981957,3.985229,2.932336
24,K562,donor1,6.07871,3.929395,4.476188,4.816283,4.810209
28,K562,donor1,8.291718,4.791771,6.920722,4.542861,5.731432
32,K562,donor1,9.247987,5.681489,7.587036,9.332417,7.03339
36,K562,donor1,11.58138,6.474734,11.31298,12.02594,9.257004
40,K562,donor1,13.19236,9.375007,14.1885,11.38378,12.74197
44,K562,donor1,17.86716,10.02917,15.35606,13.76181,19.67555
48,K562,donor1,17.79854,14.0235,16.05459,22.82038,16.96478
52,K562,donor1,23.16557,17.64779,25.34808,26.3237,19.08969
56,K562,donor1,28.15098,18.01008,36.47369,45.2043,18.39902
60,K562,donor1,37.06717,22.39965,49.67646,55.32431,21.37765
64,K562,donor1,42.4891,24.13062,54.3666,71.89029,43.34492
68,K562,donor1,48.52739,29.57027,56.49968,80.8723,57.29397
72,K562,donor1,58.87101,41.55935,72.67402,93.95939,69.80732
0,K562 BCMA,donor1,0,0,0,0,0
4,K562 BCMA,donor1,1.181966,0.8281795,0.8054963,1.862506,1.863051
8,K562 BCMA,donor1,1.519801,1.138294,1.632594,4.204904,3.094719
12,K562 BCMA,donor1,2.455707,2.305815,2.920457,5.932044,2.664426
16,K562 BCMA,donor1,4.112584,3.255576,3.442729,7.047321,3.378496
20,K562 BCMA,donor1,6.063473,4.852816,4.352073,11.09942,4.202886
24,K562 BCMA,donor1,8.131247,5.543299,5.360898,14.82953,3.246537
28,K562 BCMA,donor1,10.52151,7.396489,7.139588,19.61692,5.763484
32,K562 BCMA,donor1,11.98182,9.433485,10.99696,24.11704,6.043533
36,K562 BCMA,donor1,13.7519,8.363294,11.68512,29.22544,8.390042
40,K562 BCMA,donor1,16.75647,10.0275,16.25964,33.62426,11.0643
44,K562 BCMA,donor1,21.64039,15.73512,19.10846,42.65493,16.20409
48,K562 BCMA,donor1,27.39659,19.15384,25.62051,51.97422,27.61686
52,K562 BCMA,donor1,34.4986,20.15083,33.43856,59.02163,35.96643
56,K562 BCMA,donor1,42.99756,21.43023,41.7192,67.45155,39.50967
60,K562 BCMA,donor1,51.87431,21.23519,44.75447,75.32455,45.23196
