mouse_id,treatment,week,total_flux,week0_flux,pct_growth
1,Vehicle,0,38480000,38480000,100
1,Vehicle,1,94330000,38480000,245.1403326
1,Vehicle,2,103500000,38480000,268.970894
1,Vehicle,3,340700000,38480000,885.3950104
1,Vehicle,4,3929000000,38480000,10210.49896
2,UTD,0,28580000,28580000,100
2,UTD,1,29360000,28580000,102.7291812
2,UTD,2,52920000,28580000,185.1644507
2,UTD,3,210700000,28580000,737.2288314
2,UTD,4,1767000000,28580000,6182.645206
3,Abecma,0,49310000,49310000,100
3,Abecma,1,42790000,49310000,86.77752991
3,Abecma,2,4652000,49310000,9.434191847
3,Abecma,3,,49310000,
3,Abecma,4,,49310000,
4,B11,0,14760000,14760000,100
4,B11,1,14280000,14760000,96.74796748
4,B11,2,0,14760000,0
4,B11,3,0,14760000,0
4,B11,4,0,14760000,0
5,Vehicle,0,26810000,26810000,100
5,Vehicle,1,147100000,26810000,548.6758672
5,Vehicle,2,154300000,26810000,575.5315181
5,Vehicle,3,364300000,26810000,1358.821335
5,Vehicle,4,,26810000,
6,UTD,0,35660000,35660000,100
6,UTD,1,77800000,35660000,218.1716209
6,UTD,2,113500000,35660000,318.2837914
6,UTD,3,371500000,35660000,1041.783511
6,UTD,4,1343000000,35660000,3766.124509
7,Abecma,0,35370000,35370000,100
7,Abecma,1,45930000,35370000,129.85581
7,Abecma,2,0,35370000,0
7,Abecma,3,0,35370000,0
7,Abecma,4,0,35370000,0
8,B11,0,41910000,41910000,100
8,B11,1,16660000,41910000,39.7518492
8,B11,2,0,41910000,0
8,B11,3,0,41910000,0
8,B11,4,0,41910000,0
9,Vehicle,0,33760000,33760000,100
9,Vehicle,1,189800000,33760000,562.2037915
9,Vehicle,2,56850000,33760000,168.3945498
9,Vehicle,3,378500000,33760000,1121.149289
9,Vehicle,4,1531000000,33760000,4534.952607
10,UTD,0,46480000,46480000,100
10,UTD,1,89720000,46480000,193.0292599
10,UTD,2,23350000,46480000,50.23666093
10,UTD,3,174300000,46480000,375
10,UTD,4,744800000,46480000,1602.409639
11,Abecma,0,20150000,20150000,100
11,Abecma,1,31760000,20150000,157.617866
11,Abecma,2,0,20150000,0
11,Abecma,3,0,20150000,0
11,Abecma,4,0,20150000,0
12,B11,0,23760000,23760000,100
12,B11,1,0,23760000,0
12,B11,2,0,23760000,0
12,B11,3,0,23760000,0
12,B11,4,0,23760000,0
13,Vehicle,0,12990000,12990000,100
13,Vehicle,1,46680000,12990000,359.3533487
13,Vehicle,2,288400000,12990000,2220.169361
13,Vehicle,3,887800000,12990000,6834.488068
13,Vehicle,4,893900000,12990000,6881.447267
14,UTD,0,20390000,20390000,100
14,UTD,1,106800000,20390000,523.7861697
14,UTD,2,181000000,20390000,887.6900441
14,UTD,3,449700000,20390000,2205.492889
14,UTD,4,1187000000,20390000,5821.481118
15,Abecma,0,21630000,21630000,100
15,Abecma,1,13720000,21630000,63.43042071
15,Abecma,2,0,21630000,0
15,Abecma,3,0,21630000,0
15,Abecma,4,0,21630000,0
16,B11,0,14020000,14020000,100
16,B11,1,12760000,14020000,91.0128388
16,B11,2,0,14020000,0
16,B11,3,0,14020000,0
16,B11,4,0,14020000,0
17,Vehicle,0,13160000,13160000,100
17,Vehicle,1,79330000,13160000,602.8115502
17,Vehicle,2,44810000,13160000,340.5015198
17,Vehicle,3,711200000,13160000,5404.255319
17,Vehicle,4,635300000,13160000,4827.507599
18,UTD,0,30310000,30310000,100
18,UTD,1,382900000,30310000,1263.279446
18,UTD,2,131500000,30310000,433.8502145
18,UTD,3,1590000000,30310000,5245.793468
18,UTD,4,1645000000,30310000,5427.251732
19,Abecma,0,13560000,13560000,100
19,Abecma,1,85390000,13560000,629.719764
19,Abecma,2,0,13560000,0
19,Abecma,3,0,13560000,0
19,Abecma,4,0,13560000,0
20,B11,0,12290000,12290000,100
20,B11,1,58060000,12290000,472.4165989
20,B11,2,0,12290000,0
20,B11,3,0,12290000,0
20,B11,4,0,12290000,0
