group,counts,,,,,,,,,,,,,,,,,,
Vehicle,0,,,,,,,,,,,,,,,,,,
Vehicle,0,,,,,,,,,,,,,,,,,,
Vehicle,0,,,,,,,,,,,,,,,,,,
Vehicle,0,,,,,,,,,,,,,,,,,,
UTD,1,,,,,,,,,,,,,,,,,,
UTD,0,,,,,,,,,,,,,,,,,,
UTD,0,,,,,,,,,,,,,,,,,,
UTD,0,,,,,,,,,,,,,,,,,,
UTD,0,,,,,,,,,,,,,,,,,,
C11D5.3,6,,,,,,,,,,,,,,,,,,
C11D5.3,1,,,,,,,,,,,,,,,,,,
C11D5.3,0,,,,,,,,,,,,,,,,,,
C11D5.3,0,,,,,,,,,,,,,,,,,,
C11D5.3,25,,,,,,,,,,,,,,,,,,
B5.I0,23,,,,,,,,,,,,,,,,,,
B5.I0,8,,,,,,,,,,,,,,,,,,
B5.I0,36,,,,,,,,,,,,,,,,,,
B5.I0,2,,,,,,,,,,,,,,,,,,
B5.I0,19,,,,,,,,,,,,,,,,,,
