Construct,Rep,Input,Stim1,Stim2,Stim3,Stim4
NB,1,100,143.416,76.5232,132.99,53.44
NB,2,100,127.16,108.7562,285.494,19.024
NB,3,100,133,95.1692,122.016,58.088
Abecma,1,100,189,1362.662,457.504,23.4192
Abecma,2,100,192.178,1340.79,897.156,15.5006
Abecma,3,100,280.528,848.19,425.624,30.112
B5,1,100,185.752,885.006,1038.044,276
B5,2,100,237.762,1131.986,904.8,56.52
B5,3,100,225.6,933.792,936.874,251.136
B5.I0,1,100,271.754,2102.2,784.952,120.6362
B5.I0,2,100,248.472,2055.72,1043.28,118.776
B5.I0,3,100,255.304,2047.77,1048.32,68.637
