elapsed_hours,NB,Abecma,B5,B5.I0,cellline
0,100,100,100,100,RPMI.8226
4,126.2693,123.4506,137.2679,126.619,RPMI.8226
8,135.9813,130.5355,145.4402,132.9069,RPMI.8226
12,134.8685,131.5007,145.9256,131.9466,RPMI.8226
16,145.6033,144.3627,152.3796,142.5575,RPMI.8226
20,151.9186,159.1114,160.3221,153.8101,RPMI.8226
24,187.0289,191.6052,198.8099,189.0669,RPMI.8226
28,201.0673,215.4151,206.2527,207.76,RPMI.8226
32,225.7105,234.0282,223.4219,220.9703,RPMI.8226
36,247.1335,254.7949,247.1943,232.2012,RPMI.8226
40,294.9765,306.4052,287.4623,273.8584,RPMI.8226
44,394.2103,394.9823,359.5898,348.5254,RPMI.8226
48,441.2569,434.4741,397.4219,372.131,RPMI.8226
52,490.9158,491.621,422.6329,397.8646,RPMI.8226
56,614.1414,622.1478,529.6966,487.032,RPMI.8226
60,774.6229,762.5247,640.866,597.5883,RPMI.8226
