elapsed_hours,NB,Abecma,B5,B5.I0,cellline
0,0,0,0,0,RPMI.8226
4,2.39992,2.94363,12.3671,1.699248,RPMI.8226
8,4.36468,4.067823,15.69351,3.225314,RPMI.8226
12,5.916654,4.115077,16.28088,5.813026,RPMI.8226
16,5.777822,5.655705,18.32006,5.570101,RPMI.8226
20,6.9459,7.591269,18.46195,6.85363,RPMI.8226
24,10.3871,12.15298,26.64465,8.286585,RPMI.8226
28,10.94407,15.80677,25.43021,9.130313,RPMI.8226
32,12.84136,19.42347,25.59623,9.428943,RPMI.8226
36,16.4864,19.54296,35.51318,14.21804,RPMI.8226
40,17.28811,22.86562,42.80854,16.07117,RPMI.8226
44,26.12625,30.07021,63.39097,24.58278,RPMI.8226
48,27.79682,33.76385,76.04514,22.03461,RPMI.8226
52,30.83498,39.07301,76.36381,23.48242,RPMI.8226
56,47.51801,53.0523,90.70261,41.85356,RPMI.8226
60,64.80505,78.06768,100.0647,54.7269,RPMI.8226
