Vehicle,UTD,Abecma,CARVYKTI,B11,Rep,Week
100,100,100,100,100,1,0
100,100,100,100,100,2,0
100,100,100,,100,3,0
100,100,100,100,100,4,0
100,100,100,100,100,5,0
164.8387097,120.1072386,364.496124,127.4324324,64.59074733,1,1
489.9293286,425.8522727,594.1320293,146.0244648,671.559633,2,1
260.25878,387.3033708,1067.474048,NA,0,3,1
178.5344828,141.6642547,450.4780115,217.7184466,121.1304348,4,1
1418.414918,700.1851852,1842.178771,1060.185185,372.0608575,5,1
2125.268817,1285.254692,2958.914729,1891.216216,1346.975089,1,2
664.3109541,631.8181818,744.7432763,1221.406728,854.1284404,2,2
238.2624769,53.97191011,131.1764706,NA,656.7741935,3,2
273.1896552,204.4862518,674.7609943,242.5970874,184.6086957,4,2
5613.053613,2444.444444,7303.072626,2472.222222,1344.536653,5,2
3173.655914,2478.284182,6582.945736,3647.297297,190.8540925,1,3
1397.173145,1409.090909,987.2860636,1794.495413,0,2,3
1650.462107,11314.60674,1373.010381,NA,832.2580645,3,3
659.8275862,1028.219971,4065.00956,335.9223301,263.6521739,4,3
13799.5338,10370.37037,24581.00559,9861.111111,4073.305671,5,3
5849.462366,4793.565684,12751.93798,3809.459459,0,1,4
1770.318021,2091.761364,2466.992665,1975.535168,0,2,4
4868.761553,5049.438202,13837.37024,NA,1215.322581,3,4
2947.413793,4041.968162,3902.48566,1734.223301,259.3913043,4,4
15920.74592,25027.77778,29832.40223,8696.296296,2305.670816,5,4
13134.4086,9713.136729,24031.00775,14331.08108,0,1,5
2696.113074,5738.636364,6408.312958,4131.498471,0,2,5
3456.561922,1422.47191,3795.847751,NA,0,3,5
4350,12027.49638,40554.49331,11367.71845,1048.695652,4,5
9005.827506,10055.55556,28505.58659,20759.25926,3720.608575,5,5
