elapsed_hours,NB,FMC63,l112,l115,l115 D2,cellline
0,100,100,100,100,100,K562
4,242.8524,145.2397,192.4291667,183.1170667,193.8789667,K562
8,278.7071,168.10305,222.2909,208.8607,226.992,K562
12,315.93125,190.8511,245.1071667,237.3091,254.9035,K562
16,365.8489,221.6691,281.1947,270.2176667,288.0199,K562
20,425.5439,256.0564,320.5087667,319.4405,332.6477667,K562
24,494.59215,295.1547,369.3633333,368.1197333,385.9132333,K562
28,571.87505,340.88415,427.2662,410.6514667,440.3848333,K562
32,648.69605,386.8676,480.1821,461.504,504.4646,K562
36,731.1499,441.30145,544.3010333,526.7227667,586.9489667,K562
40,842.0594,504.4633,620.9469333,589.6438,675.7744667,K562
44,960.9064,598.4356,709.0111,688.7377,756.2889667,K562
48,1073.2142,753.0148,808.3409333,766.7063667,873.3649333,K562
52,1224.024,888.2927,953.8562667,887.1406,984.2531,K562
56,1396.733,1078.41065,1048.532133,984.577,1113.151,K562
60,1595.244,1210.9318,1217.8272,1148.2428,1239.883167,K562
64,1761.5895,1736.62,1569.457,1443.896467,1636.248733,K562
68,1975.6605,1887.0685,1883.81,1702.3508,1882.05,K562
72,2122.2915,2084.699,2066.228667,1671.3817,1922.655333,K562
0,100,100,100,100,100,K562_CD19
4,166.4458,134.2500333,134.2800333,172.5916667,174.0098,K562_CD19
8,193.6115667,148.5406333,155.0149,200.8019333,202.6370333,K562_CD19
12,220.0235333,156.8764667,176.9926333,226.9571333,230.5632,K562_CD19
16,245.8164333,159.3741667,199.6993333,255.0532333,256.386,K562_CD19
20,279.8616667,168.3458333,229.1667333,280.2817667,291.2385667,K562_CD19
24,320.7705,173.1870667,261.2645667,312.6275,334.0715,K562_CD19
28,368.4725,184.5414333,293.0465667,351.3286,378.601,K562_CD19
32,422.5374667,188.1515333,330.3958667,395.9651,429.7511,K562_CD19
36,483.9510667,191.5147333,376.2169333,465.1087667,477.0604667,K562_CD19
40,557.4837,193.0331667,443.4247667,509.6815,546.4276,K562_CD19
44,644.6451,197.3063667,517.1436,586.2773333,615.6194667,K562_CD19
48,748.2407333,203.3007333,576.2284,681.5743333,694.6421333,K562_CD19
52,865.8238667,206.411,671.1523667,820.0723333,780.5882667,K562_CD19
56,1017.284867,206.3187,775.7040333,903.2204333,901.3261,K562_CD19
60,1180.2902,213.5011,906.6120667,977.8453,1062.401133,K562_CD19
64,1372.745667,203.3568333,1028.4112,1204.415667,1511.995333,K562_CD19
68,1623.497,190.0616333,1234.905333,1245.020667,1741.547667,K562_CD19
72,1816.767333,184.4986333,1357.133667,1516.236333,1896.020667,K562_CD19
0,100,100,100,100,100,K562_CD19_CD81_KD
4,133.7938,118.4377667,122.5019,127.3270333,133.11805,K562_CD19_CD81_KD
8,136.6662333,122.2619667,125.1575333,126.2929,134.44185,K562_CD19_CD81_KD
12,139.0798,117.3357333,124.9837667,120.9754,133.7084,K562_CD19_CD81_KD
16,140.5898,109.2022733,120.6827333,114.6663,130.5113,K562_CD19_CD81_KD
20,141.3917333,102.3111267,116.542,106.4723333,125.76895,K562_CD19_CD81_KD
24,143.4331,94.27011667,114.4094667,100.2066367,125.11775,K562_CD19_CD81_KD
28,146.1356667,87.95693333,111.4540667,93.38696667,123.2255,K562_CD19_CD81_KD
32,148.3486333,82.05736333,107.9976,86.63446333,122.7542,K562_CD19_CD81_KD
36,151.3612667,76.46043667,103.0173667,80.55715667,120.8982,K562_CD19_CD81_KD
40,153.8454333,69.74301,99.42543667,72.32450667,118.51915,K562_CD19_CD81_KD
44,158.3971,65.59921333,95.11214667,65.93384333,116.1119,K562_CD19_CD81_KD
48,160.7452667,60.49091667,92.57157667,59.43520333,113.34855,K562_CD19_CD81_KD
52,164.7133667,55.68455333,86.44045,55.30542667,108.9931,K562_CD19_CD81_KD
56,166.7879667,49.67015,81.88240333,52.16098333,103.536555,K562_CD19_CD81_KD
60,169.6204667,45.51998667,78.99520333,48.16159333,99.224505,K562_CD19_CD81_KD
64,171.6281333,41.60222,75.66201333,43.64535667,90.222895,K562_CD19_CD81_KD
68,178.5569667,38.47654667,72.90481,43.96757333,85.42208,K562_CD19_CD81_KD
72,177.2238667,31.78539333,66.58600333,37.97351667,77.396525,K562_CD19_CD81_KD
