elapsed_hours,NB,FMC63,l112,l115,l115 D2,cellline
0,0,0,0,0,0,K562
4,32.0535,33.7822,39.92132036,42.73662744,64.90020866,K562
8,38.5003,39.67645,47.82451652,48.54320165,77.99140356,K562
12,40.06575,45.6123,50.44005991,57.05439196,84.89580922,K562
16,58.4729,56.0117,57.95873581,64.00486942,94.73638459,K562
20,62.1048,70.9144,64.92707232,78.20495973,110.3315332,K562
24,67.30145,74.3305,74.67653367,93.20904375,127.2892425,K562
28,81.30175,85.26905,83.53168739,104.6619434,146.6958046,K562
32,94.24935,89.7453,90.40273807,113.8312944,169.8128515,K562
36,101.4183,100.82935,101.0784651,139.8888134,201.7318607,K562
40,132.6117,108.3806,117.8412706,146.2529822,238.3703686,K562
44,149.9086,139.3859,137.4838129,173.5855191,271.475961,K562
48,153.9148,204.6692,154.2498558,217.3983363,325.2347316,K562
52,176.929,241.6493,149.6436724,265.8435292,371.2664958,K562
56,202.355,311.68235,149.7844725,286.443916,443.7243087,K562
60,200.907,343.4902,169.3834613,341.8597809,507.9998398,K562
64,243.0325,708.747,276.060977,322.2752627,572.3531458,K562
68,273.4765,701.2425,313.3922205,356.2520394,732.3631618,K562
72,288.5185,716.417,337.556997,376.7810015,765.7361057,K562
0,0,0,0,0,0,K562_CD19
4,23.80418324,14.07154162,6.989796638,24.28912211,26.82357621,K562_CD19
8,26.57045821,16.15942439,8.190216544,29.45809907,30.13172059,K562_CD19
12,29.78596365,17.61444361,9.586192279,32.68041438,34.64206552,K562_CD19
16,32.16707425,16.49338776,12.13719915,36.25785387,37.21699688,K562_CD19
20,34.55056127,17.33749493,12.20624255,38.61567214,44.95325557,K562_CD19
24,41.10656587,18.72705763,16.23053576,40.11642759,50.08231975,K562_CD19
28,46.83620171,24.20329954,15.19770512,54.26787767,56.46016225,K562_CD19
32,55.350312,22.78139036,22.79472131,49.99216178,59.46514364,K562_CD19
36,64.15705153,23.47940433,26.28555381,60.85355864,70.02383163,K562_CD19
40,65.37021616,24.9177843,36.04637896,73.37343776,78.26333251,K562_CD19
44,75.70716538,27.87111374,42.21456098,75.90846725,88.43834552,K562_CD19
48,89.8557683,30.95179186,61.25390245,98.96819229,95.57391816,K562_CD19
52,107.8670578,31.18174862,74.47395133,108.037636,104.0439456,K562_CD19
56,137.8100072,29.43971423,81.38602832,123.0407833,127.7954342,K562_CD19
60,163.4113039,29.07781867,106.9118388,55.91093478,164.5097053,K562_CD19
64,172.5075199,29.68330685,141.6431114,64.02336472,285.4544584,K562_CD19
68,218.7687413,26.65088575,134.4999637,24.07667688,295.6423947,K562_CD19
72,242.2305272,32.86085837,142.6662732,131.9268347,300.0221016,K562_CD19
0,0,0,0,0,0,K562_CD19_CD81_KD
4,16.6686708,6.034809508,7.765948277,7.925556748,5.33445,K562_CD19_CD81_KD
8,17.18812566,13.52478107,9.872254383,7.936147632,4.72365,K562_CD19_CD81_KD
12,17.63554662,12.14300101,8.001079034,6.312500748,5.3055,K562_CD19_CD81_KD
16,18.49874103,10.61002027,7.22381712,4.292485016,6.4496,K562_CD19_CD81_KD
20,18.99601085,9.04822468,6.04272842,3.906084218,3.49645,K562_CD19_CD81_KD
24,19.57890035,9.120773498,4.870231564,3.010510037,4.23885,K562_CD19_CD81_KD
28,20.84419795,8.718824779,3.748520047,2.543163005,4.4025,K562_CD19_CD81_KD
32,23.11944495,10.01459758,3.406401763,1.970694542,1.8432,K562_CD19_CD81_KD
36,23.07992527,8.959177412,1.694712948,1.154240027,1.6107,K562_CD19_CD81_KD
40,21.84158283,8.608990568,1.44059776,0.734372479,1.11605,K562_CD19_CD81_KD
44,22.94481353,7.865121878,1.584795821,1.840762708,1.0865,K562_CD19_CD81_KD
48,22.94299187,7.309278086,1.289333545,2.519112076,1.66405,K562_CD19_CD81_KD
52,23.54629662,7.283329088,1.40751278,2.925502831,1.9111,K562_CD19_CD81_KD
56,23.69237121,6.964310918,0.452953538,3.143763841,4.110245,K562_CD19_CD81_KD
60,22.71538733,5.924279191,1.171102846,3.353397189,5.585195,K562_CD19_CD81_KD
64,22.75343261,5.498517865,1.623228814,2.785271373,4.700335,K562_CD19_CD81_KD
68,22.02577018,5.603000845,2.075574242,3.52219695,6.63386,K562_CD19_CD81_KD
72,21.2846173,4.304937676,3.154090321,1.821642778,7.290975,K562_CD19_CD81_KD
