elapsed_hours,cellline,donor,NB,m971,X819258_WT,nonint_4434
0,K562,donor1,0,0,0,0
4,K562,donor1,1.289726,0.7086392,1.515353,1.199807
8,K562,donor1,1.427129,0.5929292,1.757544,1.393017
12,K562,donor1,2.124201,1.095431,1.957221,1.989199
16,K562,donor1,2.491505,1.109091,2.055032,2.418324
20,K562,donor1,2.755595,1.476567,2.248874,2.599728
24,K562,donor1,2.714514,1.829125,2.411545,3.379102
28,K562,donor1,4.007122,2.320452,3.421323,3.771014
32,K562,donor1,4.888633,3.146225,4.119092,4.896483
36,K562,donor1,5.971308,4.083324,4.743951,7.295862
40,K562,donor1,8.108286,5.697845,6.335365,7.803118
44,K562,donor1,13.09654,7.135736,8.469886,9.55894
48,K562,donor1,16.18909,8.604357,14.07459,13.51197
52,K562,donor1,19.31255,10.46233,15.65098,14.29992
56,K562,donor1,24.32558,13.07328,23.58111,16.96569
60,K562,donor1,44.2378,15.84935,19.50984,21.87458
64,K562,donor1,45.9099,19.31448,18.41031,24.86433
68,K562,donor1,56.18723,24.60608,23.42106,29.06472
72,K562,donor1,44.71889,29.86211,26.5243,38.73324
0,K562 CD22,donor1,0,0,0,0
4,K562 CD22,donor1,1.154511,0.7831573,1.059929,1.23342
8,K562 CD22,donor1,1.422539,0.8941526,1.374587,1.448638
12,K562 CD22,donor1,1.920715,1.793243,2.036467,2.1986
16,K562 CD22,donor1,2.341541,3.416527,2.39224,2.316968
20,K562 CD22,donor1,2.870099,2.269533,3.089271,2.814694
24,K562 CD22,donor1,3.106582,2.109754,3.657732,4.982062
28,K562 CD22,donor1,5.357052,1.85981,4.244117,4.820846
32,K562 CD22,donor1,6.098861,5.884254,5.292319,8.775777
36,K562 CD22,donor1,5.741434,7.035691,6.580299,10.98888
40,K562 CD22,donor1,6.384119,3.969847,8.764958,12.36034
44,K562 CD22,donor1,7.630613,11.51975,11.14392,17.87111
48,K562 CD22,donor1,10.77911,35.55209,13.76556,26.33505
52,K562 CD22,donor1,16.89672,37.09982,13.72616,22.62454
56,K562 CD22,donor1,22.155,50.68142,15.04059,32.84907
60,K562 CD22,donor1,20.09827,46.18293,20.39735,37.92257
64,K562 CD22,donor1,23.09719,48.53513,33.09913,50.31474
68,K562 CD22,donor1,27.23739,77.86594,45.61816,63.7997
72,K562 CD22,donor1,35.33587,70.77551,61.2197,80.43739
0,RPMI-8226,donor1,0,0,0,0
4,RPMI-8226,donor1,0.9826737,2.084474,1.377134,0.8837504
8,RPMI-8226,donor1,0.732069,2.140721,1.143963,0.9348261
12,RPMI-8226,donor1,2.207864,1.906174,3.328703,1.66965
16,RPMI-8226,donor1,2.592212,4.150104,4.161713,5.520813
20,RPMI-8226,donor1,2.112162,6.160601,3.733402,7.763887
24,RPMI-8226,donor1,3.720267,10.52465,2.768788,12.9273
28,RPMI-8226,donor1,5.153539,10.59659,3.903862,15.29816
32,RPMI-8226,donor1,6.030193,15.95387,4.553906,16.92578
36,RPMI-8226,donor1,7.605834,20.12033,7.743331,22.87022
40,RPMI-8226,donor1,9.45187,28.81024,10.70241,27.3408
44,RPMI-8226,donor1,13.5453,39.81392,17.46267,28.91203
48,RPMI-8226,donor1,17.94514,41.81462,20.89272,35.29565
52,RPMI-8226,donor1,19.92667,46.67884,22.6877,33.83396
56,RPMI-8226,donor1,21.47281,49.05849,24.8179,35.63802
60,RPMI-8226,donor1,23.29057,55.46899,24.80955,44.21305
64,RPMI-8226,donor1,29.20006,59.38399,28.89448,51.73092
68,RPMI-8226,donor1,34.59943,63.18855,35.80306,60.6583
72,RPMI-8226,donor1,35.40313,68.81219,39.29514,67.2721
0,K562,donor2,0,0,0,0
4,K562,donor2,4.323041,5.686544,2.993616,2.35871
8,K562,donor2,4.737454,6.591219,3.630157,1.808021
12,K562,donor2,5.388985,8.402233,4.312816,2.655149
16,K562,donor2,9.460734,10.01964,4.629301,3.032822
20,K562,donor2,3.656903,6.532683,4.424228,3.528881
24,K562,donor2,10.46346,15.14951,6.443154,4.678856
28,K562,donor2,14.83456,19.3426,6.986352,6.694075
32,K562,donor2,13.42738,25.85142,9.522059,7.280439
36,K562,donor2,18.00366,31.25212,15.98907,9.367288
40,K562,donor2,18.49691,32.4486,13.00208,14.64678
44,K562,donor2,15.56475,26.82487,13.10424,16.75078
48,K562,donor2,28.94115,40.73258,16.20616,21.77567
52,K562,donor2,32.70341,46.28802,16.78931,21.79141
56,K562,donor2,39.76054,77.67986,18.94984,23.90273
60,K562,donor2,51.15785,94.33292,24.55612,23.06025
64,K562,donor2,55.35527,88.22886,31.49767,34.08421
68,K562,donor2,57.3959,116.4761,39.27786,40.99163
72,K562,donor2,80.96023,152.2415,48.23472,44.6073
0,K562 CD22,donor2,0,0,0,0
4,K562 CD22,donor2,5.496218,3.15715,0.6786962,2.046608
8,K562 CD22,donor2,5.592023,3.96434,1.060696,3.437063
12,K562 CD22,donor2,6.135958,3.638125,2.331201,4.377474
16,K562 CD22,donor2,7.143157,4.060399,3.208284,5.479483
20,K562 CD22,donor2,4.392431,5.518164,4.012069,5.584573
24,K562 CD22,donor2,7.792714,7.186433,4.899746,7.619818
28,K562 CD22,donor2,11.32144,8.253896,6.757702,8.355927
32,K562 CD22,donor2,12.62341,8.141871,7.749792,10.09133
36,K562 CD22,donor2,14.90128,9.600158,9.651195,11.47601
40,K562 CD22,donor2,18.65805,9.947675,11.16118,13.57303
44,K562 CD22,donor2,11.44176,12.28588,11.99575,15.83793
48,K562 CD22,donor2,24.75199,14.99144,14.66807,19.07547
52,K562 CD22,donor2,25.35851,16.79073,17.91892,24.60065
56,K562 CD22,donor2,28.31995,20.27613,20.71557,27.21647
60,K562 CD22,donor2,34.05864,22.26492,25.04939,34.56739
64,K562 CD22,donor2,44.30214,25.26521,25.88771,40.22719
68,K562 CD22,donor2,28.76311,34.95387,30.82697,46.75707
72,K562 CD22,donor2,54.87209,30.50056,37.34885,53.1578
0,RPMI-8226,donor2,0,0,0,0
4,RPMI-8226,donor2,4.268449,1.910326,3.359017,3.796816
8,RPMI-8226,donor2,5.573518,2.441231,2.126548,4.296159
12,RPMI-8226,donor2,5.406034,3.239949,3.39804,5.013195
16,RPMI-8226,donor2,7.092227,4.567014,3.536347,5.309883
20,RPMI-8226,donor2,5.721997,4.458862,5.814912,6.190267
24,RPMI-8226,donor2,9.091457,6.042278,8.1985,8.582125
28,RPMI-8226,donor2,12.15294,7.552748,9.204309,10.06933
32,RPMI-8226,donor2,14.97773,8.568782,10.07174,12.2847
36,RPMI-8226,donor2,15.07598,9.40071,11.8866,14.179
40,RPMI-8226,donor2,15.21085,12.07642,13.29699,16.9107
44,RPMI-8226,donor2,12.79399,14.13205,14.14258,18.61688
48,RPMI-8226,donor2,22.69271,16.68609,18.08528,22.2678
52,RPMI-8226,donor2,27.23773,19.9206,19.53884,27.15722
56,RPMI-8226,donor2,32.24758,22.91973,20.19239,31.53997
60,RPMI-8226,donor2,35.03984,27.10339,19.02569,34.79412
64,RPMI-8226,donor2,41.57046,34.40699,19.38764,38.78718
68,RPMI-8226,donor2,34.86941,38.06178,21.15834,42.88169
72,RPMI-8226,donor2,51.32849,44.63432,21.19555,47.80164
0,K562,donor3,0,0,0,0
4,K562,donor3,1.307971,1.888422,0.6912687,1.205817
8,K562,donor3,1.971283,2.091095,1.629515,2.185358
12,K562,donor3,3.396038,3.416499,2.352606,3.026877
16,K562,donor3,3.725201,5.323219,2.365592,3.81266
20,K562,donor3,4.090775,6.82114,3.051621,4.911359
24,K562,donor3,5.702892,8.841061,3.994671,5.987043
28,K562,donor3,7.179634,11.00714,5.1581,7.48057
32,K562,donor3,8.512582,12.40841,5.855445,9.643497
36,K562,donor3,11.14359,15.00053,7.548225,9.987738
40,K562,donor3,13.99727,15.57422,9.936385,11.87775
44,K562,donor3,14.94118,17.99719,12.19884,12.73322
48,K562,donor3,16.98455,20.52263,13.83233,14.11101
52,K562,donor3,19.4652,24.49923,14.71487,16.38978
56,K562,donor3,21.91485,28.4361,17.24359,17.1409
60,K562,donor3,27.28558,33.49746,21.75046,19.74762
64,K562,donor3,31.59739,41.36249,23.52051,24.50675
68,K562,donor3,41.67691,46.60773,28.47925,31.61653
72,K562,donor3,48.61142,56.03552,31.75163,37.94338
0,K562 CD22,donor3,0,0,0,0
4,K562 CD22,donor3,0.5943649,0.7866123,0.7189474,0.5702339
8,K562 CD22,donor3,1.194695,0.8307642,1.847188,1.512002
12,K562 CD22,donor3,1.43846,1.145029,2.526404,1.874184
16,K562 CD22,donor3,1.995069,2.544463,3.306131,1.886058
20,K562 CD22,donor3,2.486216,2.496667,5.089884,2.254738
24,K562 CD22,donor3,3.134372,3.252512,6.121153,3.054608
28,K562 CD22,donor3,4.108542,3.774293,7.312553,3.784836
32,K562 CD22,donor3,4.47448,5.034781,9.010382,3.028154
36,K562 CD22,donor3,6.510092,7.265013,9.585317,3.169029
40,K562 CD22,donor3,7.798312,9.794845,12.47721,2.788545
44,K562 CD22,donor3,8.122765,15.90297,15.03573,5.00188
48,K562 CD22,donor3,10.51407,17.50009,18.30472,6.355991
52,K562 CD22,donor3,12.03466,22.20172,21.20604,9.315331
56,K562 CD22,donor3,16.22345,30.16738,19.97779,12.48628
60,K562 CD22,donor3,15.40743,41.17374,24.42728,17.18842
64,K562 CD22,donor3,20.14489,47.14487,24.39189,21.22294
68,K562 CD22,donor3,24.97239,42.31263,18.52079,27.11153
