cytokine,construct,target,rep1,rep2,rep3
GranzymeB,UTD,CAR alone,294.969,0.1287,327.731
GranzymeB,NB,CAR alone,186.955,0.0852,161.083
GranzymeB,m971,CAR alone,149.288,0.0955,7.976
GranzymeB,61-2,CAR alone,231.592,0.0819,0.0921
GranzymeB,A3,CAR alone,674.228,0.0679,0.1724
GranzymeB,UTD,K562 mC,0,124.601,0
GranzymeB,NB,K562 mC,0,400.211,0
GranzymeB,m971,K562 mC,38.62,0,0
GranzymeB,61-2,K562 mC,133.605,0,107.763
GranzymeB,A3,K562 mC,288.934,0,322.571
GranzymeB,UTD,K562 CD22 mC,50.525,89.91,0
GranzymeB,NB,K562 CD22 mC,0,12.483,0
GranzymeB,m971,K562 CD22 mC,1536.529,1118.092,1516.23
GranzymeB,61-2,K562 CD22 mC,1568.441,1162.376,1508.454
GranzymeB,A3,K562 CD22 mC,3777.081,0,3632.61
GranzymeB,UTD,Raji mC,55.492,154.382,45.375
GranzymeB,NB,Raji mC,20.104,67.273,0
GranzymeB,m971,Raji mC,604.494,542.479,769.041
GranzymeB,61-2,Raji mC,581.128,382.718,678.684
GranzymeB,A3,Raji mC,1889.956,0,2007.888
GranzymeB,UTD,RPMI,639.705,622.955,597.778
GranzymeB,NB,RPMI,353.108,284.209,289.607
GranzymeB,m971,RPMI,193.218,69.538,157.745
GranzymeB,61-2,RPMI,1482.429,1116.027,1360.106
GranzymeB,A3,RPMI,856.617,0,826.879
IFNg,UTD,CAR alone,230.393,75.235,416.654
IFNg,NB,CAR alone,563.088,395.332,241.787
IFNg,m971,CAR alone,56.523,1051.606,0
IFNg,61-2,CAR alone,588.595,37.253,216.774
IFNg,A3,CAR alone,317.888,1125.36,34.267
IFNg,UTD,K562 mC,327.209,0,31.299
IFNg,NB,K562 mC,563.088,0,92.157
IFNg,m971,K562 mC,22.525,1.627,0
IFNg,61-2,K562 mC,104.999,0,0
IFNg,A3,K562 mC,400.063,198.711,0
IFNg,UTD,K562 CD22 mC,44.285,0,0
IFNg,NB,K562 CD22 mC,0,0,2.437
IFNg,m971,K562 CD22 mC,7067.915,5877.279,5884.47
IFNg,61-2,K562 CD22 mC,3927.148,3297.31,2921.321
IFNg,A3,K562 CD22 mC,9730.523,8182.394,6954.245
IFNg,UTD,Raji mC,18.698,0,0
IFNg,NB,Raji mC,326.043,0,0
IFNg,m971,Raji mC,3293.176,2505.588,2479.932
IFNg,61-2,Raji mC,1235.36,611.743,485.875
IFNg,A3,Raji mC,3730.681,2941.817,2306.259
IFNg,UTD,RPMI,830.176,305.104,413.094
IFNg,NB,RPMI,317.888,0,48.34
IFNg,m971,RPMI,1620.425,379.984,619.065
IFNg,61-2,RPMI,2684.352,1617.808,1449.657
IFNg,A3,RPMI,1209.713,301.624,171.84
TNFa,UTD,CAR alone,0,0,0
TNFa,NB,CAR alone,0,0,0
TNFa,m971,CAR alone,0,0,0
TNFa,61-2,CAR alone,0,0,0
TNFa,A3,CAR alone,0,0,0
TNFa,UTD,K562 mC,0,0,0
TNFa,NB,K562 mC,0,0,0
TNFa,m971,K562 mC,0,0,0
TNFa,61-2,K562 mC,0,0,0
TNFa,A3,K562 mC,0,0,0
TNFa,UTD,K562 CD22 mC,0,0,0
TNFa,NB,K562 CD22 mC,0,0,0
TNFa,m971,K562 CD22 mC,3710.964,3623.534,3565
TNFa,61-2,K562 CD22 mC,3653.561,3773.802,4022.915
TNFa,A3,K562 CD22 mC,3805.078,3774.063,3967.144
TNFa,UTD,Raji mC,0,0,0
TNFa,NB,Raji mC,0,0,0
TNFa,m971,Raji mC,2367.761,2303.775,2332.675
TNFa,61-2,Raji mC,887.629,694.404,814.427
TNFa,A3,Raji mC,452.182,434.335,368.378
TNFa,UTD,RPMI,0,0,0
TNFa,NB,RPMI,0,0,0
TNFa,m971,RPMI,0,0,0
TNFa,61-2,RPMI,0,0,0
TNFa,A3,RPMI,0,0,0
