binder_name,binder_evolution_type,binder_target,binder_experiment,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture CAR Only,coculture K562,coculture K562 BCMA OE,coculture K562 CD19 OE,coculture K562 CD22 OE,coculture Raji,coculture Raji CD19 OE,coculture Raji CD19 KO,coculture RPMI 8226,coculture Nalm6,coculture Nalm6 CD22 OE,coculture DG-75,coculture Ramos,coculture SET-2,coculture U937,coculture A549,coculture Hela,coculture MDA-MB-468
BCMA_UTD,neg_control,BCMA,BCMA,1.09,1.15,1.09,1.41,1.97,0.22,0.31,1.02,,,3.92,,,0.43,,,0.51,0.33,0.24,0.2,0.12,0.22,0.25
BCMA_NB,neg_control,BCMA,BCMA,0.91,1.24,0.93,0.95,1.07,2.97,3.56,5.13,,,9.26,,,5.39,,,3.95,3.56,3.73,3.23,3.19,3.83,4.06
BCMA_Abecma,pos_control,BCMA,BCMA,0.94,3.24,80.5,98.7,98.8,1.37,1.25,85.8,,,85.9,,,89.7,,,85,80.1,1.69,1.45,1.33,1.22,0.97
BCMA_l59_int_wildtype,parental,BCMA,BCMA,1.53,2.08,53.6,99.6,100,19.2,20.4,88.9,,,88.5,,,91.7,,,85.9,79.5,20.6,19.4,16.1,19.4,20
BCMA_l59_int_1038,interface,BCMA,BCMA,1.08,2.83,77.3,99,98.7,5.85,6.23,87.4,,,88.6,,,91.4,,,90.1,87.7,5.7,6.04,5.07,5.04,5.56
BCMA_l59_int_1525,interface,BCMA,BCMA,0.6,13.3,97.5,100,100,7.25,6.69,91.5,,,91.5,,,93.2,,,92,89.1,8.05,6.95,7.82,7.57,7.58
BCMA_l59_nonint_0815,non-interface,BCMA,BCMA,1.25,2.17,53.3,99.4,100,11.2,9.37,82.9,,,67.6,,,86.2,,,65.3,61.2,11.3,10.3,9.32,9.72,10.4
BCMA_l59_nonint_1192,non-interface,BCMA,BCMA,1.28,2.54,73.4,99.9,99.9,23.7,22.2,90.1,,,82.8,,,94.2,,,85.9,84.4,23.6,23.2,23.1,24.3,22.9
BCMA_l59_int_0893,interface,BCMA,BCMA,0.73,1.71,18.6,99.4,99.6,25.8,26.1,91.1,,,92.6,,,93.6,,,90.7,90.4,25.5,25.6,25.5,26.6,25.6
BCMA_l59_int_0544,interface,BCMA,BCMA,2.9,3.69,68.5,99.1,99.4,30.4,26.6,87.6,,,87.9,,,90.6,,,87.9,85.8,28.5,26.8,20.9,22.7,23.2
BCMA_l59_nonint_0465,non-interface,BCMA,BCMA,1.27,1.36,31.5,99.1,99.8,13.6,14.3,64.6,,,27.6,,,69.8,,,18.1,27.5,15.9,14.4,13.1,14.1,13.7
BCMA_l59_nonint_0840,non-interface,BCMA,BCMA,1.4,0.98,0.84,1.48,56.8,5.38,4.31,32.9,,,11.6,,,18.3,,,7.52,6.22,5.89,5.28,5.3,5.76,5.75
BCMA_l59_nonint_1890,non-interface,BCMA,BCMA,1.04,1.6,32.9,99.1,99.6,13.7,12.1,56.7,,,21.4,,,58.1,,,16.1,25.8,13.2,14.5,11.1,13.4,19.6
BCMA_l59_int_1575,interface,BCMA,BCMA,1.71,1.36,36.2,97.9,100,42,38.8,88.5,,,89.6,,,93,,,89.7,84.2,40.6,42,31,37.2,38.9
BCMA_l59_int_1280,interface,BCMA,BCMA,0.74,1.79,5.68,95.4,99.8,26.4,31.5,75.8,,,83,,,89.2,,,54.5,52.4,29.4,33.1,28.3,36.3,24.5
BCMA_l59_nonint_1083,non-interface,BCMA,BCMA,1.27,1.98,51.1,99.8,100,31.3,29.2,84.6,,,52.7,,,90.3,,,58.2,71.1,31.8,32.6,30,31.3,42.8
BCMA_l59_int_0656,interface,BCMA,BCMA,1.42,2.22,21.1,99.8,99.6,50.1,43.6,91.7,,,92.3,,,92.6,,,90.8,88.6,46.7,47.9,41.9,43.3,41.6
BCMA_l59_nonint_1951,non-interface,BCMA,BCMA,1.82,1.45,9.9,97.4,99.7,19.2,21,60.2,,,26.9,,,62.8,,,32.5,23.5,19.1,20,19.5,21.6,22
BCMA_l59_int_1500,interface,BCMA,BCMA,1.42,3.38,59.1,99.5,100,46.3,39.6,85.9,,,85.4,,,89.7,,,84.8,76.9,43.8,42.8,35.1,45.8,49
BCMA_l59_nonint_0366,non-interface,BCMA,BCMA,0.87,1.88,70.2,99.7,99.7,19.2,16.5,54.1,,,23.9,,,56.3,,,20.3,24.9,17.7,19.2,18.6,20.6,18.6
BCMA_l59_int_0480,interface,BCMA,BCMA,0.57,0.88,2.1,74.6,98.9,46,52,86.5,,,55.8,,,88.5,,,62.3,68.7,43,45.4,44.6,47.7,48.7
BCMA_l59_int_1793,interface,BCMA,BCMA,0.96,2.1,13.5,94.6,99.7,64.7,62.9,87.5,,,87.3,,,90.9,,,86.4,85.2,67.4,67.3,56.7,60.6,52
BCMA_l59_nonint_1481,non-interface,BCMA,BCMA,0.95,1.18,3.39,85.1,99.7,72.8,64.7,81.4,,,80.7,,,88.6,,,79.5,75.5,69.1,73.5,48.1,54.6,55.7
BCMA_l59_nonint_1399,non-interface,BCMA,BCMA,0.5,1.27,0.23,32,98.7,74.7,72.3,74.6,,,76.7,,,77.5,,,75.3,72.6,72.1,72.4,63.8,64.9,65.2
BCMA_l59_int_1568,interface,BCMA,BCMA,1.77,0,1.75,58.6,97.6,81.6,86.7,88.5,,,92.3,,,91.1,,,92.1,89,92.1,90.2,85.5,84,87
CD19_l82_UTD,neg_control,CD19,CD19_l82,0.082,1.03,0.79,0.88,0.95,0.85,1.2,,4.85,,10.5,10.7,8.54,,,,,,,,,,
CD19_l82_NB,neg_control,CD19,CD19_l82,0,0.51,0.71,0.81,0.31,4.06,5.8,,13.8,,22.3,20.3,17.9,,,,,,,,,,
CD19_l82_FMC63,pos_control,CD19,CD19_l82,0.76,2.08,66.5,99,98.9,3.13,3.32,,94.2,,98.3,95.9,17.1,,,,,,,,,,
CD19_l82_all_wildtype,parental,CD19,CD19_l82,0.055,0.63,0.46,0.91,4.68,4.61,10.7,,55.6,,71.7,70.6,71.2,,,,,,,,,,
CD19_l82_int_4727,interface,CD19,CD19_l82,0.79,0.9,0.9,3.23,44.3,25.2,34.8,,61.2,,75.6,78.2,74.9,,,,,,,,,,
CD19_l82_int_2641,interface,CD19,CD19_l82,1,0.55,0.8,1.12,5.3,13.7,34,,70.8,,88.4,86,84.8,,,,,,,,,,
CD19_l82_int_4898,interface,CD19,CD19_l82,0.68,0.77,0.8,2.15,43.1,26.2,38.6,,54.9,,70,69.5,67.1,,,,,,,,,,
CD19_l82_int_3309,interface,CD19,CD19_l82,0.78,0.96,0.64,1.42,3.54,16.3,27,,53.7,,73.7,72.6,70.7,,,,,,,,,,
CD19_l82_int_1425,interface,CD19,CD19_l82,0.81,0.99,0.83,0.77,2.34,12.5,15.7,,60.8,,77.9,79.3,77.1,,,,,,,,,,
CD19_l82_int_1554,interface,CD19,CD19_l82,0.55,0.74,0.51,1.39,1.69,9.84,24.6,,63.8,,82.6,83.9,81.5,,,,,,,,,,
CD19_l82_int_4740,interface,CD19,CD19_l82,0.69,1.26,1.08,1.17,1.6,15.2,20.4,,47.9,,66.6,68,66.3,,,,,,,,,,
CD19_l82_int_4258,interface,CD19,CD19_l82,0.86,1.3,1.02,1.4,1.26,7.13,12.4,,32.6,,55.4,49.7,55,,,,,,,,,,
CD19_l82_int_1949,interface,CD19,CD19_l82,1.87,1.42,1.19,1.21,2.87,7.39,13.6,,36.4,,63.5,56.6,57.8,,,,,,,,,,
CD19_l82_int_0617,interface,CD19,CD19_l82,4.69,1.53,0.98,1.11,5.06,9.53,12.6,,26.6,,46.3,47.9,42.7,,,,,,,,,,
CD19_l82_nonint_0125,non-interface,CD19,CD19_l82,0.11,1.2,1.31,1.21,2.3,1.92,4.09,,27.9,,47.7,45.1,40.1,,,,,,,,,,
CD19_l82_nonint_4955,non-interface,CD19,CD19_l82,3.95,4.3,3.89,2.47,5.3,9,6.84,,32.7,,50.5,50.7,47.2,,,,,,,,,,
CD19_l82_nonint_4227,non-interface,CD19,CD19_l82,5.03,3.61,1.36,3.7,5.52,11.1,10.2,,49.1,,59.3,59.2,57.5,,,,,,,,,,
CD19_l82_nonint_4330,non-interface,CD19,CD19_l82,2.73,4.98,3.87,4.32,4.69,6.12,9.95,,35.6,,55.6,55.4,51,,,,,,,,,,
CD19_l82_nonint_4746,non-interface,CD19,CD19_l82,3.43,3.98,3.72,3.49,4.3,3.07,5.43,,25.8,,37.9,41.6,36.2,,,,,,,,,,
CD19_l82_nonint_4761,non-interface,CD19,CD19_l82,1.31,3.25,3.16,3.8,4.6,7.38,9.23,,34.9,,54.6,52.8,48.1,,,,,,,,,,
CD19_l82_nonint_0084,non-interface,CD19,CD19_l82,1.4,1.61,3.08,3.44,4.41,4.65,9.33,,30.9,,50.2,47.1,39,,,,,,,,,,
CD19_l82_nonint_2749,non-interface,CD19,CD19_l82,1.95,1.21,2.58,3.48,4.11,4.32,6.66,,28.4,,46.7,45.5,42.6,,,,,,,,,,
CD19_l82_nonint_4581,non-interface,CD19,CD19_l82,1.74,2.26,2.05,3.18,4.52,5.58,7.28,,30.9,,46.1,44.6,43.9,,,,,,,,,,
CD19_l82_nonint_0878,non-interface,CD19,CD19_l82,1.32,1.9,2.06,1.46,2.22,2.1,4.73,,31.1,,54,50.2,47.6,,,,,,,,,,
CD22_m971,pos_control,CD22,CD22,0.84,82.7,98.4,98.9,,5.01,3.45,,,61.4,90,,,5.76,16.3,35.8,,,,,,,
CD22_l61_nonint_0191,non-interface,CD22,CD22,0.88,40.5,95.8,96.8,,5.34,3.96,,,33.1,36,,,5.23,6.86,16,,,,,,,
CD22_l61_nonint_3136,non-interface,CD22,CD22,0.8,29.3,95.2,96.2,,6.17,6.58,,,48.3,46.6,,,10.6,14.7,35.9,,,,,,,
CD22_l61_nonint_2261,non-interface,CD22,CD22,0.86,36.3,92.1,98.4,,7.77,7.95,,,53.1,54.7,,,10.7,15.1,33.9,,,,,,,
CD22_l61_nonint_4434,non-interface,CD22,CD22,2.23,77.9,98.8,100,,17.9,12.7,,,65.1,74.3,,,19.4,28.7,52.9,,,,,,,
CD22_l61_int_3344,interface,CD22,CD22,0,2.25,9.57,94.1,,0.64,5.44,,,6.35,20.8,,,1.7,1.15,1.34,,,,,,,
CD22_l61_nonint_0714,non-interface,CD22,CD22,0.81,41.5,90.5,96.4,,23.7,20.7,,,61.7,67,,,28.7,29.3,45.5,,,,,,,
CD22_l61_int_4838,interface,CD22,CD22,1.08,0.85,2.09,61.7,,0.8,0.85,,,0.87,9.47,,,2.29,0.83,0.68,,,,,,,
CD22_l61_nonint_0247,non-interface,CD22,CD22,0.69,44.1,91.6,96.3,,8.68,6.37,,,25.8,40,,,21.1,9.68,25.5,,,,,,,
