new_name_final,order_binders,binder_name_other,well_name
UTD,BCMA_UTD,,
NB,BCMA_NB,,
Abecma,BCMA_Abecma,,
B5.I0,BCMA_l59_int_1525,B11,
B5.I1,BCMA_l59_int_1038,,
B5,BCMA_l59_int_wildtype,,
B5.N0,BCMA_l59_nonint_0815,,
B5.I2,BCMA_l59_int_0893,,
B5.N1,BCMA_l59_nonint_1192,,
B5.I3,BCMA_l59_int_0544,,
B5.I4,BCMA_l59_int_1280,,
B5.I5,BCMA_l59_int_1575,,
B5.N2,BCMA_l59_nonint_1083,,
B5.I6,BCMA_l59_int_1500,,
B5.N3,BCMA_l59_nonint_0465,,
B5.N4,BCMA_l59_nonint_1890,,
B5.I7,BCMA_l59_int_0480,,
B5.N5,BCMA_l59_nonint_1951,,
B5.N6,BCMA_l59_nonint_0366,,
B5.N7,BCMA_l59_nonint_0840,,
B5.I8,BCMA_l59_int_0656,,
B5.I9,BCMA_l59_int_1793,,
B5.N8,BCMA_l59_nonint_1481,,
B5.I10,BCMA_l59_int_1568,,
B5.N9,BCMA_l59_nonint_1399,,
T1,BCMA_l53_s847868_mpnn2,847868_mpnn2 [1],
B2,BCMA_l58_s298275_mpnn2,298275_mpnn2 [2],
L3,BCMA_l51_s395146_mpnn6,395146_mpnn1 [3],
L8,BCMA_l60_s719112_mpnn1,719112_mpnn1 [4],
T2,BCMA_l64_s766805_mpnn3,766805_mpnn3 [5],
L5,BCMA_l60_s542430_mpnn1,542430_mpnn1 [6],
B5,BCMA_l59_s561726_mpnn1,561726_mpnn1 [7],
L2,BCMA_l64_s814818_mpnn1,814818_mpnn1 [8],
L6,BCMA_l55_s655034_mpnn2,655034_mpnn2 [9],
B4,BCMA_l59_s903443_mpnn2,903443_mpnn2 [10],
T3,BCMA_l64_s766805_mpnn1,766805_mpnn1 [11],
L7,BCMA_l61_s2373_mpnn5,2373_mpnn5 [12],
B1,BCMA_l61_s2373_mpnn8,2373_mpnn8 [13],
B3,BCMA_l63_s961592_mpnn9,961592_mpnn9 [14],
L9,BCMA_l55_s655034_mpnn1,655034_mpnn1 [15],
L4,BCMA_l54_s816947_mpnn2,816947_mpnn2 [16],
L1,BCMA_l61_s550568_mpnn3,550568_mpnn3 [17],
L10,BCMA_i9_54_dldesign_0,,
L11,BCMA_i55_32_dldesign_0,,
UTD,UTD,A3,
m971,m971,,
D3.N0,CD22_l61_nonint_4434_CD22,,
D3.N1,CD22_l61_nonint_2261_CD22,,
D3.N2,CD22_l61_nonint_3136_CD22,,
D3.N3,CD22_l61_nonint_0191_CD22,,
D3.I0,CD22_l61_int_3344_CD22,,
D3.N4,CD22_l61_nonint_3278_CD22,,
D3.I1,CD22_l61_int_4308_CD22,,
D3.I2,CD22_l61_int_4838_CD22,,
D3.I3,CD22_l61_int_1411_CD22,,
D3.I4,CD22_l61_int_4515_CD22,,
D3.I5,CD22_l61_int_2538_CD22,,
D3.I6,CD22_l61_int_2154_CD22,,
D3.I7,CD22_l61_int_4999_CD22,,
D3.I8,CD22_l61_int_0508_CD22,819258_2_wiltype,
D3.I9,CD22_l61_int_0469_CD22,,
D3,CD22_l61_s819258_mpnn2,,
D3.I10,CD22_l61_int_1846_CD22,,
D3.N5,CD22_l61_nonint_0714_CD22,,
D3.N6,CD22_l61_nonint_1227_CD22,,
D3.N7,CD22_l61_nonint_0779_CD22,,
D3.N8,CD22_l61_nonint_0247_CD22,,
D3.N9,CD22_l61_nonint_2695_CD22,,
D3.N10,CD22_l61_nonint_1279_CD22,CD22_61-2,
D3.N11,CD22_l61_nonint_0387_CD22,CD22_59,
C1,CD22_l61_s819258_mpnn2,CD22_52,double check if the id is correct
C2,CD22_l59_s943680_mpnn1,CD22_64,double check if the id is correct
C3,CD22_l52_s770345_mpnn1,,double check if the id is correct
C4,CD22_l64_s571098_mpnn2,,double check if the id is correct
C1,CD19_l112_s592202_mpnn2,,
C2,CD19_l115_s450328_mpnn6,,
C3,CD19_l186_s727792_mpnn20,,
C1.I10,CD19_l112_int_3137,,
C1.N11,CD19_l112_nonint_3732,,
C1.N10,CD19_l112_nonint_0999,,
C1.I9,CD19_l112_int_4756,,
C1.N9,CD19_l112_nonint_0872,,
C1.N8,CD19_l112_nonint_0615,,
