elapsed_hours,NB,Abecma,561726_WT,int_1525,nonint_0366,cellline
0,100,100,100,100,100,K562
4,118.0819,116.3079,116.48,116.1397,119.3361,K562
8,134.2341,131.841,130.931,133.4493,138.0965,K562
12,150.3916,149.9377,146.8841,150.4336,158.573,K562
16,169.9191,169.6189,165.0539,172.622,184.6043,K562
20,193.636,192.1957,189.1496,195.1917,215.4979,K562
24,229.0887,226.2866,225.7933,229.4566,256.014,K562
28,268.5283,261.2164,262.3112,272.0862,302.4565,K562
32,312.3034,303.6848,303.8132,321.4278,354.7238,K562
36,361.0406,357.9415,347.5082,381.1891,415.7989,K562
40,429.491,420.2776,408.274,450.6077,495.8302,K562
44,502.2623,493.9347,483.5739,524.1965,592.866,K562
48,600.403,590.6972,577.3411,619.8931,714.1436,K562
52,703.7756,695.8171,664.6124,728.6046,848.0914,K562
56,805.9677,805.6663,773.495,839.3409,992.1472,K562
60,934.5168,944.8415,897.3831,961.2882,1156.98,K562
64,1126.2,1094.17,1026.987,1114.041,1338.743,K562
68,1300.94,1275.088,1178.543,1270.166,1551.827,K562
72,1475.537,1464.194,1340.694,1449.276,1822.194,K562
0,100,100,100,100,100,K562 BCMA
4,119.3361,119.5672,119.4886,115.2079,117.1194,K562 BCMA
8,138.0965,135.155,135.8403,129.5602,133.8131,K562 BCMA
12,158.573,152.1984,154.387,143.3362,155.8382,K562 BCMA
16,184.6043,169.3652,175.9845,156.5944,180.9362,K562 BCMA
20,215.4979,188.0821,196.7419,173.3218,212.6522,K562 BCMA
24,256.014,217.4969,226.7262,189.0517,254.2831,K562 BCMA
28,302.4565,240.7538,258.145,203.1335,299.1388,K562 BCMA
32,354.7238,267.5332,287.7215,214.8588,357.9921,K562 BCMA
36,415.7989,292.0254,325.0443,222.3963,421.7667,K562 BCMA
40,495.8302,325.871,360.7142,231.8547,511.6238,K562 BCMA
44,592.866,351.424,403.957,248.8215,605.9783,K562 BCMA
48,714.1436,399.658,459.9827,268.4013,743.7747,K562 BCMA
52,848.0914,436.7636,509.625,275.2145,886.3381,K562 BCMA
56,992.1472,470.3437,571.0381,289.8055,1036.277,K562 BCMA
60,1156.98,508.2562,619.7454,303.1982,1196.908,K562 BCMA
64,1338.743,538.2499,669.0847,322.4855,1387.943,K562 BCMA
68,1551.827,575.3231,713.4207,345.2848,1629.516,K562 BCMA
72,1822.194,592.5699,749.4014,353.708,1848.834,K562 BCMA
0,100,100,100,100,100,Raji
4,104.698,102.9167,102.5874,102.9309,104.9942,Raji
8,106.0063,102.7807,103.6223,103.4964,106.205,Raji
12,107.4572,101.2039,100.1684,100.4104,104.0995,Raji
16,106.6379,96.94616,98.72459,96.72379,103.3763,Raji
20,108.5767,99.35035,98.17126,94.52582,103.9891,Raji
24,116.6263,103.0412,103.2598,95.75042,110.1703,Raji
28,125.8873,108.2348,109.8247,96.99119,119.1678,Raji
32,140.7086,113.5001,117.9239,102.6539,133.5963,Raji
36,158.8308,122.8478,127.5945,107.2328,149.6386,Raji
40,186.8337,135.5345,144.1504,114.0448,173.8092,Raji
44,221.5396,155.3162,166.9184,122.2812,203.6082,Raji
48,272.1966,181.1278,196.2221,140.4034,245.2995,Raji
52,313.2809,198.5826,215.8858,153.0085,281.2283,Raji
56,365.3238,221.2073,236.613,163.3212,320.9189,Raji
60,418.9836,240.9069,265.3206,175.1336,363.3353,Raji
64,476.2262,277.6435,293.9597,187.4816,414.7834,Raji
68,547.0709,312.6859,332.9449,209.3083,467.4177,Raji
72,624.8967,356.0427,383.5093,233.1473,535.8041,Raji
0,100,100,100,100,100,RPMI-8226
4,109.9198,98.67259,103.405,96.39859,108.4596,RPMI-8226
8,119.4816,91.07419,99.88395,84.34741,113.0675,RPMI-8226
12,128.2632,84.22842,98.36282,73.03366,116.8477,RPMI-8226
16,135.7653,79.88694,97.92612,63.41621,123.1675,RPMI-8226
20,145.2696,77.78307,96.7429,56.40112,130.1368,RPMI-8226
24,160.4097,75.9526,95.30614,51.07179,138.5776,RPMI-8226
28,174.4871,75.77306,98.36482,47.55648,148.9687,RPMI-8226
32,191.0297,76.66843,102.8456,45.7284,160.0788,RPMI-8226
36,210.9305,78.22073,104.4127,42.4119,173.4362,RPMI-8226
40,228.333,78.24189,103.8687,40.56466,186.429,RPMI-8226
44,248.0518,79.16278,100.9401,38.37519,199.1529,RPMI-8226
48,275.301,76.86842,102.6684,37.58204,217.394,RPMI-8226
52,300.6857,75.52504,101.2985,33.54464,235.6915,RPMI-8226
56,332.2069,71.99516,92.97795,32.24053,252.8658,RPMI-8226
60,362.6493,64.68472,86.39415,31.87774,265.984,RPMI-8226
64,398.4202,61.98869,78.26175,28.15614,291.6602,RPMI-8226
68,435.055,55.93296,72.14433,25.76687,308.8582,RPMI-8226
72,460.8486,53.22151,66.13528,25.60495,333.8948,RPMI-8226
