elapsed_hours,NB,Abecma,561726_WT,int_1525,nonint_0366,cellline
0,0,0,0,0,0,K562
4,1.938171,0.7768651,0.4687732,0.8197103,0.3597116,K562
8,2.593396,0.9445846,0.8867517,1.64939,0.5184667,K562
12,2.737743,1.493577,1.940704,2.225065,0.9057676,K562
16,3.701005,1.878187,2.358605,3.736072,1.599425,K562
20,4.108174,2.690258,3.981957,3.985229,2.932336,K562
24,6.07871,3.929395,4.476188,4.816283,4.810209,K562
28,8.291718,4.791771,6.920722,4.542861,5.731432,K562
32,9.247987,5.681489,7.587036,9.332417,7.03339,K562
36,11.58138,6.474734,11.31298,12.02594,9.257004,K562
40,13.19236,9.375007,14.1885,11.38378,12.74197,K562
44,17.86716,10.02917,15.35606,13.76181,19.67555,K562
48,17.79854,14.0235,16.05459,22.82038,16.96478,K562
52,23.16557,17.64779,25.34808,26.3237,19.08969,K562
56,28.15098,18.01008,36.47369,45.2043,18.39902,K562
60,37.06717,22.39965,49.67646,55.32431,21.37765,K562
64,42.4891,24.13062,54.3666,71.89029,43.34492,K562
68,48.52739,29.57027,56.49968,80.8723,57.29397,K562
72,58.87101,41.55935,72.67402,93.95939,69.80732,K562
0,0,0,0,0,0,K562 BCMA
4,1.181966,0.8281795,0.8054963,1.862506,1.863051,K562 BCMA
8,1.519801,1.138294,1.632594,4.204904,3.094719,K562 BCMA
12,2.455707,2.305815,2.920457,5.932044,2.664426,K562 BCMA
16,4.112584,3.255576,3.442729,7.047321,3.378496,K562 BCMA
20,6.063473,4.852816,4.352073,11.09942,4.202886,K562 BCMA
24,8.131247,5.543299,5.360898,14.82953,3.246537,K562 BCMA
28,10.52151,7.396489,7.139588,19.61692,5.763484,K562 BCMA
32,11.98182,9.433485,10.99696,24.11704,6.043533,K562 BCMA
36,13.7519,8.363294,11.68512,29.22544,8.390042,K562 BCMA
40,16.75647,10.0275,16.25964,33.62426,11.0643,K562 BCMA
44,21.64039,15.73512,19.10846,42.65493,16.20409,K562 BCMA
48,27.39659,19.15384,25.62051,51.97422,27.61686,K562 BCMA
52,34.4986,20.15083,33.43856,59.02163,35.96643,K562 BCMA
56,42.99756,21.43023,41.7192,67.45155,39.50967,K562 BCMA
60,51.87431,21.23519,44.75447,75.32455,45.23196,K562 BCMA
64,65.31805,22.02617,56.62727,86.06956,42.33067,K562 BCMA
68,76.00201,27.28034,74.21777,96.97199,49.49367,K562 BCMA
72,99.72711,33.33139,90.60888,107.7354,57.88511,K562 BCMA
0,0,0,0,0,0,Raji
4,0.7277095,0.8489032,0.9066557,1.136513,0.9269918,Raji
8,0.8064946,1.302085,1.60591,2.161742,2.023876,Raji
12,1.354357,2.084003,2.68109,2.575324,1.829105,Raji
16,1.34834,3.503484,3.563385,2.717833,1.817241,Raji
20,1.620183,3.10294,4.953574,3.45662,2.964655,Raji
24,2.11757,4.581007,6.977515,4.344212,3.046033,Raji
28,3.932749,5.972296,8.56041,6.39215,2.682875,Raji
32,5.455577,9.212749,11.47625,9.08606,3.609069,Raji
36,6.946645,11.56153,14.74241,12.0884,5.48359,Raji
40,10.42761,14.46773,18.27218,16.84269,7.64407,Raji
44,13.29314,18.23374,24.4339,21.99603,9.198808,Raji
48,17.90711,24.32224,30.8166,28.56919,12.0923,Raji
52,21.78952,29.96227,39.41124,36.40564,15.87728,Raji
56,28.41744,36.39993,49.09594,41.64618,19.84578,Raji
60,32.65834,41.31417,59.26339,47.75584,22.35137,Raji
64,41.0514,50.15493,71.63468,54.77014,28.53918,Raji
68,51.18708,59.96735,87.20385,61.90304,32.82251,Raji
72,59.23494,71.50102,102.0248,73.10252,36.93137,Raji
0,0,0,0,0,0,RPMI-8226
4,0.554962,2.940127,1.475439,2.229494,0.6855499,RPMI-8226
8,0.6729446,5.424038,4.463811,4.692804,1.825663,RPMI-8226
12,1.357963,7.563038,6.075439,6.381976,3.184079,RPMI-8226
16,1.849926,9.444388,7.487891,7.78733,3.678784,RPMI-8226
20,2.977851,10.79204,8.629754,9.467147,3.954873,RPMI-8226
24,3.303605,12.51033,9.68527,10.71601,6.327433,RPMI-8226
28,4.068846,13.90567,11.87793,11.2584,7.450686,RPMI-8226
32,5.117733,15.84776,13.87988,12.13395,8.888089,RPMI-8226
36,5.628225,17.34359,15.13233,12.69867,11.84959,RPMI-8226
40,7.581335,18.9573,16.36584,14.77997,14.61696,RPMI-8226
44,9.444319,20.33703,16.81289,16.72459,17.33695,RPMI-8226
48,12.78345,19.84422,17.63658,17.56136,21.39577,RPMI-8226
52,14.74657,20.09767,18.47194,16.74,25.51097,RPMI-8226
56,14.01403,19.66656,18.11114,17.24421,29.87001,RPMI-8226
60,17.06141,18.1581,20.13885,19.97803,33.39774,RPMI-8226
64,21.35293,16.85857,19.30539,18.47318,40.08726,RPMI-8226
68,24.97349,17.57938,20.83664,17.08831,45.80756,RPMI-8226
72,29.96924,16.2937,20.92564,17.47706,52.24425,RPMI-8226
