target_id,CD19_PartialDiffusion_MACS_500_Rep1,CD19_PartialDiffusion_MACS_500_Rep2,CD19_PartialDiffusion_MACS_50_Rep1,CD19_PartialDiffusion_MACS_50_Rep2,CD19_PartialDiffusion_P_Rep1,CD19_PartialDiffusion_P_Rep2,CD19_PartialDiffusion_P_mean,CD19_PartialDiffusion_MACS_500_mean,CD19_PartialDiffusion_MACS_50_mean
CD19_par186_0029__CD19,37075.2,41650.6,14497.3,12334.8,52170.7,49600.0,50885.35,39362.899999999994,13416.05
CD19_par186_0068__CD19,19804.9,19828.0,15087.9,11930.3,40062.6,40444.1,40253.35,19816.45,13509.099999999999
CD19_par186_0086__CD19,7584.43,7721.83,5737.05,5601.7,17790.0,21090.4,19440.2,7653.13,5669.375
CD19_par186_0119__CD19,2888.9,3040.88,387.589,307.187,2933.99,3569.41,3251.7,2964.8900000000003,347.38800000000003
CD19_par186_0210__CD19,38775.1,37755.2,7970.3,7140.31,58539.3,58685.1,58612.2,38265.149999999994,7555.305
CD19_par186_0217__CD19,254853.0,238162.0,317556.0,343572.0,44078.1,43536.5,43807.3,246507.5,330564.0
CD19_par186_0253__CD19,2619.54,2484.63,569.202,512.574,3075.87,3892.52,3484.1949999999997,2552.085,540.8879999999999
CD19_par186_0289__CD19,37099.5,38389.2,13689.6,11536.5,79908.4,91121.1,85514.75,37744.35,12613.05
CD19_par186_0333__CD19,785.014,699.027,2057.54,2049.4,5296.44,3836.91,4566.674999999999,742.0205000000001,2053.4700000000003
CD19_par186_0516__CD19,26284.0,28796.3,7025.33,5536.51,40967.5,35469.9,38218.7,27540.15,6280.92
CD19_par186_0520__CD19,18774.8,19503.3,2752.25,2316.4,34240.2,36918.6,35579.399999999994,19139.05,2534.325
CD19_par186_0569__CD19,12869.6,13693.9,9670.53,8015.44,18507.4,21482.6,19995.0,13281.75,8842.985
CD19_par186_0626__CD19,6473.03,6227.85,1751.9,1395.74,22381.1,24791.5,23586.3,6350.4400000000005,1573.8200000000002
CD19_par186_0705__CD19,69604.2,70924.3,62553.9,57166.3,67267.7,70178.8,68723.25,70264.25,59860.100000000006
CD19_par186_0741__CD19,4053.68,4039.25,2021.37,1784.19,6158.44,6981.94,6570.19,4046.465,1902.78
CD19_par186_0752__CD19,18891.3,19611.9,11846.9,9767.48,23912.3,26770.6,25341.449999999997,19251.6,10807.189999999999
CD19_par186_0791__CD19,1472.96,1538.08,4849.66,3920.21,22596.6,23792.3,23194.449999999997,1505.52,4384.9349999999995
CD19_par186_0835__CD19,129194.0,130870.0,123247.0,112554.0,100582.0,93423.9,97002.95,130032.0,117900.5
CD19_par186_0944__CD19,5297.33,5279.64,2772.92,2481.61,20492.4,27563.7,24028.050000000003,5288.485000000001,2627.2650000000003
CD19_par186_1007__CD19,4303.62,4378.29,473.228,404.522,2256.71,4306.35,3281.53,4340.955,438.875
CD19_par186_1112__CD19,1873.36,2174.26,2684.33,2292.29,14363.4,14453.8,14408.599999999999,2023.81,2488.31
CD19_par186_1160__CD19,2125.73,2052.98,6102.49,5291.83,3654.1,3626.19,3640.145,2089.355,5697.16
CD19_par186_1211__CD19,179.57,181.924,388.327,358.98,3221.77,3691.16,3456.465,180.747,373.6535
CD19_par186_1283__CD19,74008.5,82617.0,82457.5,87092.9,59234.0,49561.4,54397.7,78312.75,84775.2
CD19_par186_1349__CD19,40903.2,43676.0,10837.7,8555.69,65423.2,56720.1,61071.649999999994,42289.6,9696.695
CD19_par186_1362__CD19,132661.0,120895.0,276348.0,285027.0,43121.1,42832.9,42977.0,126778.0,280687.5
CD19_par186_1375__CD19,823.84,1012.16,142.485,79.4757,1768.16,2193.27,1980.7150000000001,918.0,110.98035000000002
CD19_par186_1403__CD19,25361.9,25960.5,4734.49,3963.07,64819.5,65817.5,65318.5,25661.2,4348.78
CD19_par186_1535__CD19,1918.25,1823.09,1320.02,1165.35,37725.6,37381.0,37553.3,1870.67,1242.685
CD19_par186_1603__CD19,21440.5,25012.8,8467.89,5847.27,43451.7,36266.5,39859.1,23226.65,7157.58
