target_id,CD19_Big_MACS_1000_1,CD19_Big_MACS_1000_2,CD19_Big_MACS_100_1,CD19_Big_MACS_100_2,CD19_Big_MACS_500_1,CD19_Big_MACS_500_2,CD19_Big_Parental_1,CD19_Big_Parental_2,CD19_Big_Parental_mean,CD19_Big_MACS_1000_mean,CD19_Big_MACS_500_mean,CD19_Big_MACS_100_mean
CD19_Big_l100_s115928_mpnn19,68657.4,67107.6,17365.9,16288.4,66203.2,81535.8,247434.0,255299.0,251366.5,67882.5,73869.5,16827.15
CD19_Big_l102_s320135_mpnn12,14492.1,13899.6,8196.0,7571.46,17121.5,20578.9,53334.0,53902.2,53618.1,14195.85,18850.2,7883.73
CD19_Big_l112_s592202_mpnn2,199994.0,196629.0,362700.0,351876.0,223132.0,240323.0,93561.0,95759.7,94660.35,198311.5,231727.5,357288.0
CD19_Big_l114_s393592_mpnn10,16058.9,16224.5,1153.71,1136.14,15177.2,19570.5,88994.7,90855.8,89925.25,16141.7,17373.85,1144.9250000000002
CD19_Big_l115_s450328_mpnn6,632557.0,636844.0,564670.0,580943.0,596645.0,545544.0,89654.3,95135.2,92394.75,634700.5,571094.5,572806.5
CD19_Big_l120_s704963_mpnn2,8908.77,14372.7,5324.69,4613.36,17633.0,21318.5,86697.9,82675.4,84686.65,11640.735,19475.75,4969.025
CD19_Big_l121_s900055_mpnn3,12324.9,11479.6,2044.3,1724.26,12905.8,16868.5,73742.9,74823.6,74283.25,11902.25,14887.15,1884.28
CD19_Big_l124_s145725_mpnn12,11990.5,10714.7,790.11,626.388,9696.91,9169.3,75448.5,73971.5,74710.0,11352.6,9433.105,708.249
CD19_Big_l134_s906844_mpnn1,4675.79,6287.23,2067.35,1931.56,6811.43,8053.0,38257.1,38449.2,38353.149999999994,5481.51,7432.215,1999.455
CD19_Big_l136_s690598_mpnn1,2932.13,3040.12,1005.83,716.629,2828.47,3547.43,23240.4,20389.7,21815.050000000003,2986.125,3187.95,861.2295
CD19_Big_l140_s306053_mpnn4,3101.6,2787.14,1757.51,1580.87,2370.81,2525.87,15444.6,15157.5,15301.05,2944.37,2448.34,1669.19
CD19_Big_l140_s957170_mpnn3,1838.11,1904.4,2501.67,2937.39,2066.25,2430.54,21219.5,15624.1,18421.8,1871.255,2248.395,2719.5299999999997
CD19_Big_l146_s135706_mpnn10,1908.26,1815.65,2688.74,2534.08,3119.57,3730.59,13621.9,12687.2,13154.55,1861.955,3425.08,2611.41
CD19_Big_l150_s105702_mpnn17,1540.8,1557.79,79.2873,80.1829,1769.81,1874.18,12184.4,11032.7,11608.55,1549.295,1821.995,79.7351
CD19_Big_l150_s720322_mpnn3,755.309,644.556,0.0,0.0,463.617,530.839,2517.86,2804.13,2660.995,699.9325,497.22800000000007,0.0
CD19_Big_l154_s654265_mpnn7,2750.08,2270.91,68.3658,55.1575,1559.03,1685.61,10963.1,10921.0,10942.05,2510.495,1622.32,61.761649999999996
CD19_Big_l158_s265245_mpnn20,1230.65,991.528,1059.4,1124.33,1132.17,1249.27,9062.72,7749.94,8406.33,1111.089,1190.72,1091.865
CD19_Big_l159_s948869_mpnn10,1475.79,1246.64,609.318,475.742,1098.15,1141.51,6848.99,7221.71,7035.35,1361.2150000000001,1119.83,542.53
CD19_Big_l160_s405175_mpnn14,2274.77,3014.97,223.7,204.673,2854.57,3128.65,15224.7,13631.0,14427.85,2644.87,2991.61,214.1865
CD19_Big_l160_s715366_mpnn3,349.006,340.112,9.43314,6.28205,592.024,569.491,2437.38,2392.73,2415.0550000000003,344.55899999999997,580.7574999999999,7.857595
CD19_Big_l165_s125722_mpnn20,829.115,543.317,45.0859,37.7315,361.412,369.797,2940.52,3020.86,2980.69,686.216,365.60450000000003,41.408699999999996
CD19_Big_l169_s932527_mpnn18,269.724,226.561,0.0,0.0,185.596,185.666,965.326,1050.69,1008.008,248.14249999999998,185.631,0.0
CD19_Big_l171_s949695_mpnn6,236.564,158.379,4.62394,17.8258,178.105,174.129,464.295,533.374,498.83450000000005,197.4715,176.117,11.224870000000001
CD19_Big_l175_s294682_mpnn3,313.283,226.516,158.351,159.181,374.358,360.152,2036.47,2184.28,2110.375,269.8995,367.255,158.76600000000002
CD19_Big_l178_s525006_mpnn3,101.088,113.685,68.8578,78.525,145.792,126.408,133.095,176.655,154.875,107.3865,136.1,73.6914
CD19_Big_l183_s475403_mpnn1,45.8658,38.2792,12.3746,10.4562,21.3968,18.6083,115.996,128.766,122.381,42.072500000000005,20.00255,11.4154
CD19_Big_l186_s727792_mpnn20,2633.62,3379.34,23199.6,22449.5,10230.4,11430.4,2452.79,2234.56,2343.675,3006.48,10830.4,22824.55
CD19_Big_l192_s40349_mpnn14,130.844,132.167,0.0,0.0,259.213,231.979,1386.4,1193.62,1290.01,131.50549999999998,245.596,0.0
CD19_Big_l193_s905057_mpnn17,1114.87,832.731,94.6211,76.2979,777.156,806.517,4348.99,4251.57,4300.28,973.8004999999999,791.8365,85.45949999999999
CD19_Big_l198_s138973_mpnn4,882.405,834.803,158.326,185.772,543.909,651.949,4897.2,4435.52,4666.360000000001,858.604,597.929,172.04899999999998
