binder_id,CD19_M1F_R1,CD19_M1F_R2,CD19_M1_R1,CD19_M1_R2,CD19_M2F_R1,CD19_M2F_R2,CD19_M2_R1,CD19_M2_R2,CD19_M3F_R1,CD19_M3F_R2,CD19_parental_R1,CD19_parental_R2,CD19_parental_mean,CD19_M1_mean,CD19_M2_mean,CD19_M1F_mean,CD19_M2F_mean,CD19_M3F_mean,binder_name
i10_45_dldesign_6,1.45591,0.0430904,2817.55,0.555394,1.4443,0.179053,4.83651,41.159,1.43464,0.986905,1.01829,1.94161,1.47995,1409.052697,22.997754999999998,0.7495002000000001,0.8116764999999999,1.2107725,i10_45_dldesign_6
i10_56_dldesign_0,12838.8,22344.2,14707.3,138478.0,11.3738,19.5427,6744.34,261.455,9.12058,10.0392,3.01056,7.92425,5.467404999999999,76592.65,3502.8975,17591.5,15.45825,9.579889999999999,i10_56_dldesign_0
i10_66_dldesign_3,3.63304,1.92193,5030.23,0.832325,6.02145,0.596068,35755.9,114.026,139.865,1.78612,2.57809,5.81959,4.19884,2515.5311625,17934.963,2.777485,3.308759,70.82556000000001,i10_66_dldesign_3
i11_169_dldesign_0,6091.88,16.5888,5441.62,14.9212,9.09908,6.61444,17.8392,148.264,3.28939,4.27596,1.77092,3.06404,2.41748,2728.2706,83.05160000000001,3054.2344000000003,7.85676,3.7826750000000002,i11_169_dldesign_0
i11_32_dldesign_0,88.0769,1114.9,5403.87,0.591429,9.02197,0.617613,28619.7,128.599,110.941,45.3772,1.34316,4.64509,2.994125,2702.2307145,14374.1495,601.4884500000001,4.8197915,78.1591,i11_32_dldesign_0
i13_119_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i13_119_dldesign_0
i14_21_dldesign_0,650.716,177.651,10500.4,35.8915,13.3959,10.3726,18.3967,132.322,4.48553,4.46187,12194.7,5425.36,8810.03,5268.14575,75.35935,414.1835,11.88425,4.4737,i14_21_dldesign_0
i15_32_dldesign_0,41717.8,62982.0,15.6011,1802.24,49338.0,38621.5,197.904,1127.13,3450.27,2838.31,57.2892,34.761,46.0251,908.92055,662.517,52349.9,43979.75,3144.29,i15_32_dldesign_0
i16_0_dldesign_1,2078.27,58.4843,34535.2,6210.35,34.1215,1.965,61.3466,568.948,16.5057,24.0388,7.99171,30.0099,19.000805,20372.774999999998,315.1473,1068.37715,18.04325,20.27225,i16_0_dldesign_1
i16_128_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i16_128_dldesign_0
i16_33_dldesign_2,91.5299,422.402,1488.61,35.5018,280.763,17.0636,492.554,4072.76,401.721,305.48,141010.0,191912.0,166461.0,762.0559,2282.657,256.96595,148.9133,353.6005,i16_33_dldesign_2
i16_87_dldesign_4,2.0851,1.47989,5455.3,32.1259,5.15853,0.322894,6.06307,63.8192,2.2893,1.5124,1.17833,2.68272,1.9305250000000003,2743.71295,34.941135,1.782495,2.740712,1.90085,i16_87_dldesign_4
i17_14_dldesign_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i17_14_dldesign_5
i18_2_dldesign_8,28.0614,107.676,13375.7,80187.6,57.122,49.7586,136.581,723.784,22.2781,32.3485,14046.0,3926.1,8986.05,46781.65,430.1825,67.8687,53.4403,27.313299999999998,i18_2_dldesign_8
i18_39_dldesign_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i18_39_dldesign_0
i18_63_dldesign_7,80058.3,100092.0,28177.0,321.942,64133.7,6227.94,14106.0,4747.58,3133.9,1670.52,21319.1,39730.6,30524.85,14249.471,9426.79,90075.15,35180.82,2402.21,i18_63_dldesign_7
i1_95_dldesign_6,1.9638,1.38379,5835.95,0.425841,6.02145,0.403788,7.98447,62.0434,2.87509,2.85779,1.35043,3.56685,2.45864,2918.1879205,35.013935,1.6737950000000001,3.2126189999999997,2.86644,i1_95_dldesign_6
i20_137_dldesign_0,5407.97,68.1649,5484.29,1348.15,924.315,1034.26,78.0466,481.46,14.2042,17.6616,15297.1,10052.4,12674.75,3416.2200000000003,279.75329999999997,2738.06745,979.2875,15.9329,i20_137_dldesign_0
