binder_name,binder_experiment,binder_unique_id,staining_0_nM,staining_0.1_nM,staining_1_nM,staining_10_nM,staining_100_nM,coculture_CAR_Only,coculture_K562,coculture_Raji_CD19_KO,coculture_DG-75,coculture_Raji,coculture_Ramos,coculture_K562_CD19
UTD,CD19_l112,CD19_l112_UTD,0.21,0.18,0.17,0.16,0.26,0.65,0.87,4.31,1.07,4.52,0.71,2.81
NB,CD19_l112,CD19_l112_NB,0.1,0.16,0.18,0.25,0.22,5.44,8.66,25.5,9.53,24.2,6.22,15.5
FMC63,CD19_l112,CD19_l112_FMC63,0.22,0.48,56.6,95.8,94.4,3.24,4.52,14.6,93,97.2,93.4,96.5
l112_WT,CD19_l112,CD19_l112_int_wildtype,0.85,3.79,60.5,98.3,99.4,17.4,19.6,46,26.2,47,21.1,35.4
A1,CD19_l112,CD19_l112_nonint_4609,0.81,3.14,56.1,97.1,98.8,12.7,14.9,31.8,16,34,12.8,22.6
A2,CD19_l112,CD19_l112_nonint_4914,0.95,1.21,0.72,1.47,46.3,16.1,17.5,31.8,18.5,33.3,16.4,25.4
A3,CD19_l112,CD19_l112_nonint_0615,0.94,1.25,27,96.4,99.3,9.94,12.5,33.9,14.5,35.7,11,21.4
A4,CD19_l112,CD19_l112_nonint_1470,0.87,0.93,10.7,91.4,98.3,17.8,18.8,32.3,18.3,32.8,17.7,25.6
A5,CD19_l112,CD19_l112_nonint_2659,1.31,2.65,1.56,19.6,84.8,61,52.9,59.9,67.3,61.6,54.5,54.7
A6,CD19_l112,CD19_l112_nonint_0508,0.95,0.73,0.93,1.17,25.2,21.6,22.8,38.4,22.1,37,20.2,26
A7,CD19_l112,CD19_l112_nonint_3099,1.26,1.31,0.85,0.74,3.36,75.1,73.6,75,76.8,75.5,71.4,71.1
A8,CD19_l112,CD19_l112_nonint_0872,1.79,0.8,0.96,2.34,65.4,23,24.9,49.8,30.9,53,25,38.9
A9,CD19_l112,CD19_l112_nonint_3354,1.4,1.53,1.08,2.08,22,16.2,18.7,33.1,19.1,33.1,16.2,25.3
A10,CD19_l112,CD19_l112_nonint_4030,2.4,1.48,0.95,1.83,29.9,57.6,55.1,67.5,61.2,68.5,52.5,60.3
A12,CD19_l112,CD19_l112_nonint_0999,1.77,1.17,1.33,1.16,5.81,38.8,37.2,67.9,55.3,68.9,43.1,52.1
B6,CD19_l112,CD19_l112_nonint_3732,0.12,0.18,0.18,0.18,0.96,11.2,14.1,47.7,19.5,49.4,13,28.4
A11,CD19_l112,CD19_l112_int_0963,0.61,1.73,52.9,97.1,99,4.79,6.19,17,7.42,18.8,4.4,12.6
B1,CD19_l112,CD19_l112_int_3137,0.13,0.13,0.12,0.19,0.26,8.93,9.88,38,66,37.9,8.65,27.5
B2,CD19_l112,CD19_l112_int_4066,0.17,0.29,0.22,0.23,0.31,88.5,90.6,94.9,92.3,94.6,91.8,90
B3,CD19_l112,CD19_l112_int_4372,0.19,0.18,0.2,0.18,0.26,84.6,86.5,91.7,88.1,91.4,86.9,87
B4,CD19_l112,CD19_l112_int_1670,0.14,0.18,0.15,0.17,0.14,4.45,5.44,16.5,6.09,16.4,4.7,10.5
B7,CD19_l112,CD19_l112_int_2114,0.095,0.1,0.15,0.14,0.23,6.67,8.47,25.9,14.5,26.6,8,16.5
B8,CD19_l112,CD19_l112_int_3043,0.12,0.16,0.092,0.18,0.16,4.1,5.17,13.7,6.06,13.4,4.29,10.7
B9,CD19_l112,CD19_l112_int_2630,0.13,0.16,0.13,0.14,0.22,11.9,12.5,22.8,13.3,22.1,11.4,18.4
B10,CD19_l112,CD19_l112_int_4756,0.2,0.094,0.14,0.11,0.15,24.2,25,57.7,35.5,57.9,28.2,38.9
B11,CD19_l112,CD19_l112_int_3265,0.17,0.16,0.12,0.13,0.17,2.87,3.78,10.7,4.11,10.6,3.05,7.77
B12,CD19_l112,CD19_l112_int_2534,0.081,0.13,0.1,0.18,0.18,5.36,6.5,17.1,6.36,17,4.74,12.8
UTD,CD19_l115,CD19_l115_UTD,1.58,1.46,1.23,1.52,5.2,2.27,2.96,13.7,2.66,3.92,2.6,7.82
NB,CD19_l115,CD19_l115_NB,1.69,1.66,1.9,1.9,5.18,2.44,3.21,10.2,3.22,12.6,2.5,8.87
FMC63,CD19_l115,CD19_l115_FMC63,1.77,35.4,98,99.4,99.6,1.11,1.45,5.87,82.3,94.8,83.5,92.1
l115_WT,CD19_l115,CD19_l115_int_wildtype,4.42,4.56,40.7,88.2,96.5,26.1,29.4,57,55,60.1,28.4,50.4
C1,CD19_l115,CD19_l115_nonint_4784,2.86,4.25,3.65,40.8,90.4,51.5,47.5,62.6,59.4,67.4,54.4,56.9
C2,CD19_l115,CD19_l115_nonint_4959,2.06,2.09,14.8,94.4,98.3,11.6,13.6,24.3,17.2,29.8,14.8,23.4
C3,CD19_l115,CD19_l115_int_1633,4.03,2.18,1.99,2.42,6.05,5.84,7.23,32.8,15,36,12.2,21.8
C4,CD19_l115,CD19_l115_int_2621,2.2,1.98,2.3,2.17,4.79,0.59,1.09,3.7,1.59,4.52,0.65,3.65
C5,CD19_l115,CD19_l115_int_4864,2.23,1.75,1.92,2.28,4.63,1.39,2.45,21.8,5.22,25,2.43,10.7
C6,CD19_l115,CD19_l115_nonint_1810,2.73,3.75,34.4,91.4,97.4,30.9,37.3,59.3,50,64.7,36.3,58.1
C7,CD19_l115,CD19_l115_int_0203,1.84,2.03,2.06,2.27,5.2,0.68,1.02,10.6,1.84,13.4,1.16,5.74
C8,CD19_l115,CD19_l115_nonint_1986,1.95,2.09,2.18,3.7,47.9,4.85,5.82,13.3,5.85,15,5.63,11.9
C9,CD19_l115,CD19_l115_nonint_4561,3.22,4.57,30.1,90.5,96.7,71.4,68.1,85.9,80.1,86.7,73.5,80
