binder_unique_id,strep_0_nM,strep_0.1_nM,strep_1_nM,strep_10_nM,strep_100_nM,CD69_0_nM,CD69_0.1_nM,CD69_1_nM,CD69_10_nM,CD69_100_nM
UTD,2.71,2.77,2.9,3.34,12.5,17.7,18.4,17.9,18.2,17.9
NB,2.73,3.1,2.76,3.37,12.1,15.4,15.6,15.1,15.7,15.1
FMC63,2.51,48.3,94.5,97,97.4,17.1,20.3,57.3,92.4,93.8
CD19_l112_int_wildtype,3.2,67.6,95.1,97.9,98.6,26.8,25.8,30.4,34.6,38
CD19_l112_nonint_4609,3.27,2.74,3.31,8.31,77.8,22.7,24.9,23.1,24.5,24.1
CD19_l112_nonint_4914,3.04,2.7,2.79,3.44,10.7,19.1,19.6,20.3,18.9,18.3
CD19_l112_nonint_1470,3.12,3.08,3.53,17.7,86,24.1,24.6,24.5,25.1,25.7
CD19_l112_int_0963,3.28,3,3.11,3.84,9.97,9.48,11.2,10.6,10.3,10.3
CD19_l115_int_wildtype,2.58,7.09,42.8,81.9,93.7,16.9,17,16.9,19,29.6
CD19_l115_nonint_4784,2.96,2.57,4.31,23.5,78.8,35,35.6,36,35.4,38.7
CD19_l115_nonint_4959,2.96,4.52,43,93,96,28.1,28.3,28.3,33.6,49.4
CD19_l115_nonint_1810,2.75,7.09,47.9,90.1,97,38.1,37.4,37.7,38.9,46.7
CD19_l115_nonint_4561,3.87,11.3,60.4,92.1,96,63.9,65.8,64.9,62.6,60.1
CD19_l115_nonint_4004,4.71,15.6,65.6,92,95.9,74.5,75.5,76.1,74.4,75.8
CD19_l115_nonint_0547,4,40.3,86.2,95.2,95.9,60.3,63.6,63.4,67.3,73.3
CD19_l115_nonint_4002__CD19,4.28,22,75.9,93.3,96.3,71.3,71.6,72.5,72.3,74.6
CD19_l115_nonint_3533__CD19,3.04,55.8,94.8,97.4,97.6,28.3,30.7,36.5,57.4,72.3
CD19_l115_nonint_1314__CD19,3.01,4.29,34.7,91.1,95.5,27,28.7,27.6,33.1,53.8
CD19_l115_nonint_2376__CD19,3.81,10.8,63.3,92,96,57.1,59.9,56.8,61.8,71.1
CD19_l115_nonint_0190__CD19,2.92,3.17,9.6,63.1,92.2,39.7,39.8,41.4,42.6,52.7
