ET_Ratio	UTD	No_Binder	m971	l61_819258_mpnn2	l61_nonint_2261	l61_nonint_0191	l61_int_2154	Cellline
a1:0	4.12	2.08	7.34	3.23	3.1	6.77	2.12	K562
b1:16	4.27	2.67	8.07	3.22	3.8	5.58	3	K562
c1:8	4.34	3.67	7.68	3.58	2.09	8.39	4.85	K562
d1:0.25	4.38	3.58	7.42	3.13	3.45	6.87	2.86	K562
e1:0.5	4.31	3.13	7.65	3.38	3.14	7.58	4.96	K562
f1:1	4.1	4.19	8.66	2.91	3.75	7.76	7.02	K562
g1:2	3.7	4.04	8.35	3.36	3.87	8.8	8.17	K562
h1:4	3.58	4.76	8.88	4.3	5.47	9.7	7.7	K562
i1:8	2.31	2.57	7.61	2.42	3.95	8.07	5.29	K562
a1:0	4.12	2.08	7.34	3.23	3.1	6.77	2.12	K562CD22
b1:16	4.46	3.25	53.4	45.9	43.8	28.4	4.5	K562CD22
c1:8	4.67	3.43	67.3	55.4	52.6	27.7	2.11	K562CD22
d1:0.25	4.6	3.55	76.8	66	63.1	44.6	3.91	K562CD22
e1:0.5	4.31	3.92	84.3	70.5	67.2	55.6	5.99	K562CD22
f1:1	4.2	4.02	87.7	74.4	76.6	57.1	6.4	K562CD22
g1:2	4.07	4.27	90.9	74.9	77.9	69.8	8.24	K562CD22
h1:4	3.97	4.8	90.4	74	77.8	68.1	7.03	K562CD22
i1:8	2.91	3.31	81.9	57.7	63.3	58.8	5.74	K562CD22
a1:0	4.12	2.08	7.34	3.23	3.1	6.77	2.12	Raji
b1:16	7.01	6.99	61.4	31.4	29.7	22.6	30.4	Raji
c1:8	8.21	7.85	78.9	39.8	36.7	32.6	33.7	Raji
d1:0.25	9.06	8.68	86.3	47.1	40.2	46.1	30.6	Raji
e1:0.5	9.19	9.38	91.3	50.1	49.6	46.7	47.3	Raji
f1:1	8.91	9.65	93.8	54.4	51.3	53.5	50.2	Raji
g1:2	8.65	9.69	95.1	57.2	55.4	58.6	50.9	Raji
h1:4	8.13	9.86	95.4	57.6	56.2	59.7	50.7	Raji
i1:8	6.99	8.11	93.5	51.3	49.6	57.9	44	Raji
a1:0	4.12	2.08	7.34	3.23	3.1	6.77	2.12	RPMI8266
b1:16	5.23	3.52	8.75	17.9	5.13	6.82	10.8	RPMI8266
c1:8	5.81	3.77	8.9	24.1	3.36	2.78	17	RPMI8266
d1:0.25	6.15	3.93	10.5	31.6	3.57	10.2	17.3	RPMI8266
e1:0.5	6.23	4.53	12.1	39.4	1.54	13.5	36.2	RPMI8266
f1:1	6.14	5	8.91	46	5.56	8.18	36.9	RPMI8266
g1:2	5.76	4.69	11	55.2	6.39	11	45.6	RPMI8266
h1:4	5.43	4.65	10	62.8	7.73	9.21	44.9	RPMI8266
i1:8	5.47	5.17	11.4	65.3	8.37	17.9	47.9	RPMI8266
