ID	CAR_Only	K562_Parental	RPMI_8226	K562_CD22	Raji	Nalm6_Parental	Nalm6_CD22	0nM	0.1nM	1nM	10nM
UTD	0.79	1.37	1.91	1.03	7.14	0.92	1.14	0.13	0.1	0.32	28.8
No_Binder	8.17	6.64	9.34	5.92	15.1	7.19	6.83	0.58	0.77	2.55	59.9
819258_2_wiltype	11	11	42.1	54.5	61.1	20.3	34.8	0.84	82.7	98.4	98.9
m971	5.01	3.45	5.76	61.4	90	16.3	35.8	0.62	68.3	95.4	97.4
CD22_l61_nonint_0191_CD22	5.34	3.96	5.23	33.1	36	6.86	16	0.88	40.5	95.8	96.8
CD22_l61_nonint_3136_CD22	6.17	6.58	10.6	48.3	46.6	14.7	35.9	0.8	29.3	95.2	96.2
CD22_l61_nonint_2261_CD22	7.77	7.95	10.7	53.1	54.7	15.1	33.9	0.86	36.3	92.1	98.4
CD22_l61_nonint_4434_CD22	17.9	12.7	19.4	65.1	74.3	28.7	52.9	2.23	77.9	98.8	100
CD22_l61_int_3344_CD22	0.64	5.44	1.7	6.35	20.8	1.15	1.34	0	2.25	9.57	94.1
CD22_l61_nonint_0714_CD22	23.7	20.7	28.7	61.7	67	29.3	45.5	0.81	41.5	90.5	96.4
CD22_l61_int_4838_CD22	0.8	0.85	2.29	0.87	9.47	0.83	0.68	1.08	0.85	2.09	61.7
CD22_l61_nonint_0247_CD22	8.68	6.37	21.1	25.8	40	9.68	25.5	0.69	44.1	91.6	96.3
CD22_l61_nonint_0779_CD22	21.3	17.1	38.9	52.3	52.3	25.8	34.5	0.59	71.6	96.5	98.9
CD22_l61_nonint_1227_CD22	7.76	8.79	36.8	44.7	47.6	11.7	27.3	0.82	29.3	95.2	96.2
CD22_l61_int_2538_CD22	1.5	1.57	3.12	1.6	8.25	1.3	1.37	0.47	0.9	1.75	54.5
CD22_l61_int_4999_CD22	4	3.72	5.4	3.2	11.1	3.4	3.16	0.47	0.88	3.63	79.6
CD22_l61_nonint_2695_CD22	13.7	14	34.2	34.3	38.6	13.5	23.5	0.82	18.1	97.3	98
CD22_l61_nonint_0387_CD22	17.1	14.5	22.1	18.6	24.7	15.3	19.9	6.92	16.6	92.9	98.3
CD22_l61_int_1411_CD22	6.33	6.23	9.29	5.72	15.1	5.8	5.49	0.6	0.63	41.1	94.4
CD22_l61_int_2154_CD22	7.9	7.34	10.4	6.8	15.8	6.88	6.07	0.79	0.82	3.06	64.7
CD22_l61_nonint_1279_CD22	15.3	14.5	27.3	19.1	24	14.3	22	0.74	38.5	96.7	97.8
CD22_l61_nonint_3278_CD22	5.35	5.15	16.5	4.64	24.3	4.87	5.29	0.56	0.73	2.65	67.9
CD22_l61_int_0508_CD22	11.2	10	16.2	8.94	17.2	8.79	9.59	1.28	1.01	4.26	83.4
CD22_l61_int_0469_CD22	6.77	32	65.9	41.3	74.4	21.5	23.6	0.43	0.24	1.11	45.2
CD22_l61_int_1846_CD22	11.6	35	72	38.9	72.2	27.8	28.5	0.89	1.02	1.25	48.5
CD22_l61_int_4515_CD22	5.29	4.51	14.2	4.14	14.1	4.25	4.26	0.4	0.81	2.05	71.2
CD22_l61_int_4308_CD22	1.55	4.51	14.2	1.5	14.1	4.25	4.26	1.23	0.63	2.41	65
