binder_id,M1000_Rep1,M1000_Rep2,M100_Rep1,M100_Rep2,M500_Rep1,M500_Rep2,Parental_Rep1,CD22_parental_mean,CD22_1000_mean,CD22_500_mean,CD22_100_mean
CD22_l50_s13448_mpnn2,50.1822,0.361029,8.49572,26.2071,3.4165,11.06,8772.88,8772.88,25.271614500000002,7.238250000000001,17.35141
CD22_l50_s384330_mpnn1,29733.3,21271.9,16.1252,39.2364,9.3755,12.0278,17252.3,17252.3,25502.6,10.70165,27.6808
CD22_l50_s499119_mpnn1,145.544,28.1603,31.1177,82.4856,12.7125,16.7283,55737.9,55737.9,86.85215000000001,14.720400000000001,56.80165
CD22_l50_s50724_mpnn1,44.2558,10.7587,6.99647,30.0713,7.94534,11.1983,16690.8,16690.8,27.50725,9.571819999999999,18.533885
CD22_l50_s50724_mpnn2,31.0175,0.866471,8.49572,20.3118,10.9646,6.636,10244.5,10244.5,15.9419855,8.8003,14.403760000000002
CD22_l50_s71213_mpnn1,12618.7,8385.99,4.93085,12.6825,3.5754,7.742,15477.8,15477.8,10502.345000000001,5.6587,8.806675
CD22_l51_s257104_mpnn1,58.1241,7.45568,18.9672,66.1633,15.3718,10.5083,40895.1,40895.1,32.78989,12.94005,42.565250000000006
CD22_l51_s257104_mpnn2,459.643,316.698,11.6934,37.821,14.6969,24.6098,45969.5,45969.5,388.17049999999995,19.65335,24.757199999999997
CD22_l51_s345688_mpnn1,12.073,0.0671683,0.0,8.3056,0.0,3.38979,1972.25,1972.25,6.0700841500000005,1.694895,4.1528
CD22_l51_s607909_mpnn1,30.1464,5.84364,9.29944,28.4831,5.99873,18.915,12872.7,12872.7,17.99502,12.456865,18.89127
CD22_l51_s688978_mpnn1,30.5079,1.14186,4.97198,32.1901,9.59797,5.96602,12601.2,12601.2,15.82488,7.781995,18.58104
CD22_l51_s688978_mpnn2,41.352,4.09726,2.67014,22.6644,2.47448,6.44059,10381.6,10381.6,22.724629999999998,4.457535,12.66727
CD22_l52_s508122_mpnn1,277.189,132.67,9.98575,28.5695,8.30594,20.5258,23787.9,23787.9,204.92950000000002,14.41587,19.277625
CD22_l52_s7333_mpnn2,13.6311,0.188363,1.56472,11.7665,0.922882,4.77053,4047.8,4047.8,6.9097315,2.846706,6.66561
CD22_l52_s770345_mpnn1,78724.0,57465.2,124421.0,148364.0,93207.2,162146.0,19298.1,19298.1,68094.6,127676.6,136392.5
CD22_l52_s821159_mpnn1,17.6523,3.26496,4.8933,26.1182,3.1236,6.71641,4283.7,4283.7,10.45863,4.920005,15.50575
CD22_l52_s821159_mpnn2,5075.75,3908.1,4.58036,36.3248,3.76252,22.1579,15099.2,15099.2,4491.925,12.96021,20.45258
CD22_l53_s20321_mpnn1,181.6,35.6609,3.18154,24.2763,10.7168,9.29168,11877.7,11877.7,108.63045,10.00424,13.728919999999999
CD22_l53_s564778_mpnn1,43.7077,0.0589436,1.16657,17.1886,8.22298,8.00604,1848.34,1848.34,21.8833218,8.11451,9.177585
CD22_l53_s564778_mpnn2,32.4262,1.94514,2.59826,42.6109,4.5159,5.66851,11889.4,11889.4,17.185670000000002,5.092205,22.60458
CD22_l53_s583253_mpnn1,12.184,0.0,2.25359,5.22026,1.14583,3.38942,739.954,739.954,6.092,2.267625,3.736925
CD22_l53_s634861_mpnn1,19.9844,0.235774,4.93139,10.101,0.876219,3.44786,3208.51,3208.51,10.110087,2.1620395,7.516195000000001
CD22_l53_s834230_mpnn1,21.7811,2.43371,5.50826,17.8477,1.21323,5.37632,5432.26,5432.26,12.107405,3.294775,11.67798
CD22_l53_s834230_mpnn2,24.7631,5.99523,1.75626,15.9779,3.43748,4.90881,12387.2,12387.2,15.379165,4.173145,8.86708
CD22_l53_s870494_mpnn1,30.879,2.06303,5.19652,23.8519,8.62739,12.5642,12603.4,12603.4,16.471015,10.595794999999999,14.52421
CD22_l53_s870494_mpnn2,33.4577,0.235774,4.136,22.4089,3.43748,3.5063,6480.1,6480.1,16.846737,3.47189,13.27245
CD22_l54_s166328_mpnn1,49.1072,2.99932,8.4895,31.9188,7.57059,18.969,17894.6,17894.6,26.053259999999998,13.269795,20.20415
CD22_l54_s166328_mpnn2,28.4369,0.222172,3.79793,22.5619,4.17024,0.109331,5629.96,5629.96,14.329536000000001,2.1397855,13.179915000000001
CD22_l54_s324923_mpnn1,1035.72,615.75,6.65259,50.3896,8.72543,16.5637,20724.6,20724.6,825.735,12.644565,28.521095000000003
CD22_l54_s508517_mpnn1,25002.7,17326.8,8.56397,33.5796,7.37812,16.181,27206.4,27206.4,21164.75,11.77956,21.071785
CD22_l54_s72762_mpnn1,43.7723,1.05532,13.2553,39.3243,5.29464,11.568,19303.0,19303.0,22.41381,8.43132,26.2898
CD22_l54_s72762_mpnn2,35.423,0.277715,6.72731,25.3234,4.77809,7.29167,9480.45,9480.45,17.8503575,6.034879999999999,16.025355
CD22_l54_s767115_mpnn1,7.82781,3.88801,1.48939,2.6329,0.769891,1.63997,834.926,834.926,5.85791,1.2049305,2.061145
CD22_l54_s782100_mpnn1,28.5279,1.61075,5.39507,24.591,2.95125,9.34783,9579.47,9579.47,15.069325,6.14954,14.993035
CD22_l54_s782100_mpnn2,29.936,0.111086,10.4421,20.3302,4.42687,5.52123,10133.0,10133.0,15.023543,4.97405,15.38615
CD22_l54_s812246_mpnn1,17.9795,1.5552,1.21633,10.2885,5.38924,4.75591,3935.3,3935.3,9.76735,5.0725750000000005,5.752415
CD22_l54_s91983_mpnn1,52.3484,36.214,1.14186,12.6379,5.13261,4.64658,6401.72,6401.72,44.2812,4.889595,6.88988
CD22_l54_s967599_mpnn1,39.9952,5.66538,5.28732,29.8125,10.8426,15.0331,29107.4,29107.4,22.830289999999998,12.93785,17.54991
CD22_l55_s686475_mpnn1,29.5959,0.230036,2.45026,13.0941,1.34665,4.67291,7105.77,7105.77,14.912968,3.00978,7.77218
CD22_l55_s798497_mpnn1,64.9756,10.735,13.4181,24.2124,6.97812,10.3728,26289.1,26289.1,37.8553,8.67546,18.81525
CD22_l55_s928297_mpnn1,11.383,7.5912,2.73029,9.56874,2.08119,2.51618,6648.16,6648.16,9.4871,2.298685,6.149515
CD22_l55_s928297_mpnn2,10.0294,0.0,2.03022,0.0387398,1.16302,2.36213,3298.32,3298.32,5.0147,1.762575,1.0344799
CD22_l56_s173048_mpnn1,31.3596,2.76986,3.94099,25.4651,5.5598,9.62657,10173.1,10173.1,17.06473,7.593185,14.703045
