elapsed_hours,cellline,donor,NB,m971,X819258_WT,nonint_4434
0,K562,donor1,100,100,100,100
4,K562,donor1,104.9875,104.9775,106.9739,106.2803
8,K562,donor1,116.4635,116.1175,119.1096,119.5196
12,K562,donor1,131.4394,129.6313,133.5887,134.4978
16,K562,donor1,149.6126,145.8888,152.0459,154.246
20,K562,donor1,173.2936,168.4752,175.0682,178.0601
24,K562,donor1,209.6292,201.9948,210.1345,212.3963
28,K562,donor1,237.8686,229.553,239.3302,242.8044
32,K562,donor1,279.2245,267.9037,281.3919,285.9192
36,K562,donor1,327.3485,313.9876,329.8246,329.8217
40,K562,donor1,388.552,370.1971,387.3002,392.0043
44,K562,donor1,463.6282,438.2797,458.6516,464.4763
48,K562,donor1,549.5295,519.8687,547.9221,548.7684
52,K562,donor1,651.3685,611.9479,643.0027,643.4042
56,K562,donor1,761.0712,717.5038,762.4858,750.9461
60,K562,donor1,919.5342,844.3843,890.6897,868.8284
64,K562,donor1,1080.413,992.9279,1036.602,1039.27
68,K562,donor1,1276.125,1171.153,1219.598,1212.588
72,K562,donor1,1463.269,1372.954,1425.114,1425.617
0,K562 CD22,donor1,100,100,100,100
4,K562 CD22,donor1,107.0258,107.0368,107.162,107.6228
8,K562 CD22,donor1,121.796,123.8794,123.5149,126.1752
12,K562 CD22,donor1,140.5298,144.1374,142.6397,145.6494
16,K562 CD22,donor1,162.353,164.6879,166.613,167.3061
20,K562 CD22,donor1,189.9182,192.0057,193.87,194.7373
24,K562 CD22,donor1,227.7929,225.1202,231.7996,227.4946
28,K562 CD22,donor1,260.8358,248.1904,259.8186,251.4745
32,K562 CD22,donor1,301.4005,273.768,295.4243,281.6991
36,K562 CD22,donor1,345.1456,308.049,336.5414,314.7853
40,K562 CD22,donor1,398.0476,350.8264,381.6371,359.0919
44,K562 CD22,donor1,458.8734,379.4222,435.9865,401.0343
48,K562 CD22,donor1,530.7249,408.4092,496.2393,448.6116
52,K562 CD22,donor1,611.0358,468.4012,560.8105,523.0608
56,K562 CD22,donor1,699.7775,505.3098,623.7365,566.0867
