"binder_id","BCMA_M100.CD22_1","BCMA_M100.CD22_2","BCMA_M1000_1","BCMA_M1000_2","BCMA_M100_1","BCMA_M100_2","BCMA_M500_1","BCMA_Parental_1","BCMA_Parental_2","BCMA_parental_mean","BCMA_M1000_mean","BCMA_M500_mean","BCMA_M100_mean","is_selected","BCMA_parental_occupancy","logFC_100","logFC_1000","under_fc100_bcma_binders"
"BCMA_l50_s161492_mpnn1",0,0,20.3486,22.3099,0.213905,0,0.022501,4476.18,4240.44,4358.31,21.32925,0.022501,0.1069525,FALSE,0.00435830952385468,-15.3145109906741,-7.67479176948203,FALSE
"BCMA_l50_s161492_mpnn14",0,2114.13,527.939,522.201,178.931,160.161,363.751,9587.04,9582.47,9584.755,525.07,363.751,169.546,FALSE,0.00958475395286563,-5.82099290180916,-4.19015988061569,FALSE
"BCMA_l51_s395146_mpnn5",114837,83056.9,82684.8,77863.5,37904.7,36941.3,92061.7,36888.4,36264.8,36576.6,80274.15,92061.7,37423,FALSE,0.0365765960040069,0.0330042415640262,1.13401450901888,FALSE
"BCMA_l51_s395146_mpnn6",55357.5,56746.9,42792.4,41254.5,67677.2,65656.4,40486.7,13557.6,13723.7,13640.65,42023.45,40486.7,66666.8,TRUE,0.0136406485097592,2.28905608669913,1.62328221498188,FALSE
"BCMA_l51_s424569_mpnn2",588.909,5674.69,513.666,462.721,0.3019,0.482403,109.737,20228.4,20261.8,20245.1,488.1935,109.737,0.3921515,FALSE,0.0202450977882231,-15.6558021247994,-5.37397587231246,FALSE
"BCMA_l51_s424569_mpnn6",588.909,2063.53,50.1292,47.4823,0,0,0.0434343,2627.25,2533.09,2580.17,48.80575,0.0434343,0,FALSE,0.00258016971811646,-Inf,-5.72427118613641,FALSE
"BCMA_l51_s968329_mpnn13",11778.2,12381.2,8464.46,7988.44,1.05665,0.804005,7007.07,41701.1,41250.2,41475.65,8226.45,7007.07,0.9303275,FALSE,0.0414756454687857,-15.444166392868,-2.33392269421233,FALSE
"BCMA_l52_s270570_mpnn1",44495.4,37089,46891.5,45937,17089.9,16845.8,58176.4,32713.6,33248.8,32981.2,46414.25,58176.4,16967.85,FALSE,0.0329811963968043,-0.958840119016761,0.492923915117278,FALSE
"BCMA_l52_s270570_mpnn2",11680,30744.8,17616.2,17317.8,996.936,961.686,22315.9,25562.7,26063.1,25812.9,17467,22315.9,979.311,FALSE,0.025812897179941,-4.72018133310682,-0.563460389765216,FALSE
"BCMA_l52_s63704_mpnn2",8342.88,8784.23,21798.3,20432.3,1339.39,1276.64,30223.2,14302.5,13663.1,13982.8,21115.3,30223.2,1308.015,FALSE,0.0139827984723793,-3.41820229305549,0.594635461096404,FALSE
