"binder_id","BCMA_1000_R1","BCMA_1000_R2","BCMA_100_R1","BCMA_100_R2","BCMA_parental_R1","BCMA_parental_R2","BCMA_parental_mean","BCMA_1000_mean","BCMA_100_mean","is_selected"
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i10_82_dldesign_0",14.3051,14.3351,7.24494,8.93552,1146.07,1070.81,1108.44,14.3201,8.09023,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i11_9_dldesign_0",338.817,283.435,906.105,860.182,23470.5,21174.7,22322.6,311.126,883.1435,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i12_50_dldesign_0",561.882,793.285,4894.84,3141.06,23351.2,25706.3,24528.75,677.5835,4017.95,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i13_49_dldesign_0",33.0939,28.7162,85.8726,76.0129,7266.55,6521.28,6893.915,30.90505,80.94275,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i13_9_dldesign_0",151.255,135.537,310.885,255.286,19061.3,16469.6,17765.45,143.396,283.0855,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i14_1_dldesign_0",0,0,0,0,0,0.612608,0.306304,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i14_44_dldesign_0",0,0,0,0,0,0.200204,0.100102,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i14_64_dldesign_0",0,0,0,0,0,0.204203,0.1021015,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i15_80_dldesign_0",35.8022,47.3688,119.926,118.828,5671.39,6103.25,5887.32,41.5855,119.377,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i16_51_dldesign_0",428858,402939,583694,611558,25337.1,23375.2,24356.15,415898.5,597626,TRUE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i16_57_dldesign_0",0,0,0,0,0,0.224529,0.1122645,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i16_6_dldesign_0",11.9253,13.557,45.8005,24.1206,2854.69,2439.71,2647.2,12.74115,34.96055,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i17_47_dldesign_0",28.2951,21.5662,163.283,152.392,10370.1,10128.1,10249.1,24.93065,157.8375,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i17_74_dldesign_0",0,0,0,0,4.84045,9.54466,7.192555,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i17_82_dldesign_0",131.425,186.301,68.7694,71.0193,6403.61,7914.28,7158.945,158.863,69.89435,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i17_83_dldesign_0",77.8145,76.6625,318.644,289.451,12952.9,14128.9,13540.9,77.2385,304.0475,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i18_28_dldesign_0",160.743,137.997,534.612,440.006,9503.03,8656.56,9079.795,149.37,487.309,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i18_91_dldesign_0",174161,172006,97292.3,88753.3,48480.5,48607.9,48544.2,173083.5,93022.8,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i19_82_dldesign_0",31.1324,20.5054,74.1157,65.7651,4392.99,3196.13,3794.56,25.8189,69.9404,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i1_29_dldesign_0",38813.4,44221.6,18063,16125.2,2132.39,1660.06,1896.225,41517.5,17094.1,TRUE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i1_6_dldesign_0",77.06,71.1728,151.078,124.68,9573.03,9908.38,9740.705,74.1164,137.879,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i1_76_dldesign_0",9.52417,9.98771,8.40695,4.66856,2174.02,1967.02,2070.52,9.75594,6.537755,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i20_13_dldesign_0",0,0,0,0,118.945,117.008,117.9765,0,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i20_16_dldesign_0",137.886,128.54,452.007,354.028,11414.2,12050.4,11732.3,133.213,403.0175,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i20_48_dldesign_0",156371,169121,116830,105476,20273.1,22461.9,21367.5,162746,111153,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i2_11_dldesign_0",132.259,106.652,488.334,365.21,22032.8,19693.6,20863.2,119.4555,426.772,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i2_14_dldesign_0",182.295,155.941,416.247,343.058,16769.3,13795.5,15282.4,169.118,379.6525,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i2_23_dldesign_0",42257.2,46024.4,8457.51,7358.16,25390.2,28319.3,26854.75,44140.8,7907.835,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i2_53_dldesign_0",0,0,9.13284,12.4493,94.3076,91.1765,92.74205,0,10.79107,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i2_80_dldesign_0",33.2429,35.2525,115.541,85.0013,5735.95,6772.25,6254.1,34.2477,100.27115,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i3_37_dldesign_0",2770.87,5036.07,480.211,428.606,831.831,1279.37,1055.6005,3903.47,454.4085,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i3_40_dldesign_0",199.148,179.58,1732.79,1348.05,10807.3,10440.2,10623.75,189.364,1540.42,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i4_4_dldesign_0",84.299,82.6011,239.291,198.122,7590.3,6821.19,7205.745,83.45005,218.7065,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i4_71_dldesign_0",9.27708,11.0942,88.8524,96.0373,7591.66,7123.07,7357.365,10.18564,92.44485,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i6_55_dldesign_0",0.77309,0,0,0,0,0,0,0.386545,0,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i6_96_dldesign_0",29.0676,24.8344,23.9587,25.4455,5031.68,4723.35,4877.515,26.951,24.7021,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i7_86_dldesign_0",329.8,278.288,583.84,522.218,32117.3,26837.3,29477.3,304.044,553.029,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i7_97_dldesign_0",160.957,153.141,281.808,205.459,21802.2,25176.2,23489.2,157.049,243.6335,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i8_27_dldesign_0",109.635,161.305,57.5743,59.3649,2270.13,2821.61,2545.87,135.47,58.4696,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i8_39_dldesign_0",556.264,422.359,2024.22,1731.62,47559.1,41783.6,44671.35,489.3115,1877.92,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i8_53_dldesign_0",104.212,91.4492,539.579,391.898,19466.7,19327.7,19397.2,97.8306,465.7385,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i8_88_dldesign_0",106.068,109.594,412.434,329.673,13916,14706.2,14311.1,107.831,371.0535,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i8_90_dldesign_0",85.569,103.27,393.339,360.937,5213.28,6192.32,5702.8,94.4195,377.138,FALSE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i9_54_dldesign_0",40893.1,33958.5,78216.9,81854.4,3327.44,2940,3133.72,37425.8,80035.65,TRUE
"BCMAE3FoldConditionedAllFolds_1XU2ChainR_R18-R20-R26_50-100_i9_78_dldesign_0",207.961,188.601,612.518,471.264,20791.1,18858.6,19824.85,198.281,541.891,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i12_38_dldesign_0",72.5903,60.5842,170.069,160.088,5845.15,5090.2,5467.675,66.58725,165.0785,FALSE
"BCMAE3FoldConditioned_1XU2ChainR_R18-R20-R26_50-100_i14_22_dldesign_0",10.4812,10.7187,49.6083,29.1889,1146.27,962.82,1054.545,10.59995,39.3986,FALSE
