,new_id,binder_unique_id
1,C1.I10,CD19_l112_int_3137
2,C1.N11,CD19_l112_nonint_3732
3,C1.N10,CD19_l112_nonint_0999
4,C1.I9,CD19_l112_int_4756
5,C1.N9,CD19_l112_nonint_0872
6,C1.N8,CD19_l112_nonint_0615
7,C1.I8,CD19_l112_int_2114
8,C1.N7,CD19_l112_nonint_4609
9,C1.N6,CD19_l112_nonint_4914
10,C1.N5,CD19_l112_nonint_3354
11,C1.I7,CD19_l112_int_0963
12,C1.N4,CD19_l112_nonint_1470
13,C1.I6,CD19_l112_int_1670
14,C1.I5,CD19_l112_int_2534
15,C1.N3,CD19_l112_nonint_0508
16,C1.I4,CD19_l112_int_3043
17,C1.I3,CD19_l112_int_2630
18,C1.I2,CD19_l112_int_4372
19,C1.I1,CD19_l112_int_4066
20,C1.I0,CD19_l112_int_3265
21,C1.N2,CD19_l112_nonint_4030
22,C1.N1,CD19_l112_nonint_3099
23,C1.N0,CD19_l112_nonint_2659
