BINDER	bK562_BCMA	bRaji	bRPMI_8226	baK562	baNalm6	cCAR_alone
847868_mpnn2_[1]	52.2	57.8	67.5	51.2	54.9	69.6
298275_mpnn2_[2]	35.4	27.2	36	4.3	3.31	3.8
395146_mpnn6_[3]	2.22	7.83	2.69	1.8	1.31	1.4
719112_mpnn1_[4]	7.5	35.9	11.2	5.2	4.18	4.6
766805_mpnn3_[5]	72.9	84	82	44.7	40.6	46.1
542430_mpnn1_[6]	3.46	11.2	4.55	2.2	1.21	1.9
561726_mpnn1_[7]	77.4	89.5	87.3	12	11.8	9.5
814818_mpnn1_[8]	5.22	10.6	7.37	4.6	3.56	4.7
655034_mpnn2_[9]	6.45	16.3	8.18	5.6	3.86	3.8
903443_mpnn2_[10]	79.1	82.2	85.3	13.2	10.9	12.5
766805_mpnn1_[11]	73.9	89.7	36.1	42.1	41.6	45.7
2373_mpnn5_[12]	7.62	43.6	23.7	6.7	6.34	4.8
2373_mpnn8_[13]	31.1	24.9	46.7	3.5	2.82	3.1
961592_mpnn9_[14]	44.4	21	21.8	34.9	8.93	7.5
655034_mpnn1_[15]	7.24	15.4	9.15	6.1	4.29	2.7
816947_mpnn2_[16]	2.82	18	3.99	2.3	1.61	1.3
550568_mpnn3_[17]	8.95	12.2	12.9	8.4	6.95	14.8
ABECMA_[22]	72.3	86.1	84.5	3.7	10.4	2.7
