"binder_name","binder_evolution_type","binder_target","binder_experiment","staining_0_nM","staining_0.1_nM","staining_1_nM","staining_10_nM","staining_100_nM","coculture CAR Only","coculture K562","coculture K562 BCMA OE","coculture K562 CD19 OE","coculture K562 CD22 OE","coculture Raji","coculture Raji CD19 OE","coculture Raji CD19 KO","coculture RPMI 8226","coculture Nalm6","coculture Nalm6 CD22 OE","coculture DG-75","coculture Ramos","coculture SET-2","coculture U937","coculture A549","coculture Hela","coculture MDA-MB-468","mean_BCMA_positive_activity","max_BCMA_negative_activity","mean_CD19_positive_activity","max_CD19_negative_activity","mean_CD22_positive_activity","max_CD22_negative_activity","BCMA_activity_gain","BCMA_activity_ratio","CD19_activity_gain","CD19_activity_ratio","CD22_activity_gain","CD22_activity_ratio","overall_activity_gain","overall_activity_ratio","overall_mean_positive_activity","overall_max_negative_activity","estimated_Kd","nls_kd","nls_kd_scaled","sp_kd","sp_kd_scaled","kd_fit_quality","kd_R2","Kd_estimate_nM_clipped","Kd_estimate_molar","neg_log10_Kd_M","clipped_neg_log10_Kd_M"
"BCMA_Abecma","pos_control","BCMA","BCMA",0.94,3.24,80.5,98.7,98.8,1.37,1.25,85.8,NA,NA,85.9,NA,NA,89.7,NA,NA,85,80.1,1.69,1.45,1.33,1.22,0.97,85.3,1.69,NA,NA,NA,89.7,83.93,62.2627737226277,NA,NA,NA,NA,83.93,62.2627737226277,85.3,1.69,10,0.468761581407758,10,10,213.328062636203,"Known",0.965931277787221,1000,1e-08,8,8
"BCMA_l59_int_0480","interface","BCMA","BCMA",0.57,0.88,2.1,74.6,98.9,46,52,86.5,NA,NA,55.8,NA,NA,88.5,NA,NA,62.3,68.7,43,45.4,44.6,47.7,48.7,72.36,52,NA,NA,NA,88.5,26.36,1.57304347826087,NA,NA,NA,NA,26.36,1.57304347826087,72.36,52,130.166122432841,6.10168773973343,130.166122432841,16.4611260053619,351.162011953429,"Good (Curve Fit)",0.973810932800484,1000,1.30166122432841e-07,6.8855020323187,6.8855020323187
"BCMA_l59_int_0544","interface","BCMA","BCMA",2.9,3.69,68.5,99.1,99.4,30.4,26.6,87.6,NA,NA,87.9,NA,NA,90.6,NA,NA,87.9,85.8,28.5,26.8,20.9,22.7,23.2,87.96,30.4,NA,NA,NA,90.6,57.56,2.89342105263158,NA,NA,NA,NA,57.56,2.89342105263158,87.96,30.4,13.3631069868505,0.626411116367709,13.3631069868505,9.91927346115036,211.605939022591,"Good (Curve Fit)",0.983236952153787,1000,1.33631069868505e-08,7.87409255455752,7.87409255455752
"BCMA_l59_int_0656","interface","BCMA","BCMA",1.42,2.22,21.1,99.8,99.6,50.1,43.6,91.7,NA,NA,92.3,NA,NA,92.6,NA,NA,90.8,88.6,46.7,47.9,41.9,43.3,41.6,91.2,50.1,NA,NA,NA,92.6,41.1,1.82035928143713,NA,NA,NA,NA,41.1,1.82035928143713,91.2,50.1,56.1420141780113,2.63172193495014,56.1420141780113,9.77955911823647,208.62544001296,"Good (Curve Fit)",0.969965521446713,1000,5.61420141780113e-08,7.25071201046353,7.25071201046353
"BCMA_l59_int_0893","interface","BCMA","BCMA",0.73,1.71,18.6,99.4,99.6,25.8,26.1,91.1,NA,NA,92.6,NA,NA,93.6,NA,NA,90.7,90.4,25.5,25.6,25.5,26.6,25.6,91.68,26.6,NA,NA,NA,93.6,65.88,3.55348837209302,NA,NA,NA,NA,65.88,3.55348837209302,91.68,26.6,60.0833931991437,2.81647864123748,60.0833931991437,9.85915492957746,210.323442035693,"Good (Curve Fit)",0.966769420517911,1000,6.00833931991437e-08,7.22124554860623,7.22124554860623
"BCMA_l59_int_1038","interface","BCMA","BCMA",1.08,2.83,77.3,99,98.7,5.85,6.23,87.4,NA,NA,88.6,NA,NA,91.4,NA,NA,90.1,87.7,5.7,6.04,5.07,5.04,5.56,89.04,6.23,NA,NA,NA,91.4,83.19,15.2205128205128,NA,NA,NA,NA,83.19,15.2205128205128,89.04,6.23,10.8055682987686,0.506523528374031,10.8055682987686,9.93939393939394,212.035165286893,"Good (Curve Fit)",0.970288707170053,1000,1.08055682987686e-08,7.9663523872695,7.9663523872695
"BCMA_l59_int_1280","interface","BCMA","BCMA",0.74,1.79,5.68,95.4,99.8,26.4,31.5,75.8,NA,NA,83,NA,NA,89.2,NA,NA,54.5,52.4,29.4,33.1,28.3,36.3,24.5,70.98,36.3,NA,NA,NA,89.2,44.58,2.68863636363636,NA,NA,NA,NA,44.58,2.68863636363636,70.98,36.3,228.086607850029,3.91700515094666,83.560712018748,10.6918238993711,228.086607850029,"Compromise (Single Point Estimate)",0.94639713521378,1000,2.28086607850029e-07,6.64190021366056,6.64190021366056
"BCMA_l59_int_1500","interface","BCMA","BCMA",1.42,3.38,59.1,99.5,100,46.3,39.6,85.9,NA,NA,85.4,NA,NA,89.7,NA,NA,84.8,76.9,43.8,42.8,35.1,45.8,49,84.54,49,NA,NA,NA,89.7,38.24,1.82591792656587,NA,NA,NA,NA,38.24,1.82591792656587,84.54,49,17.751436537709,0.832119146367592,17.751436537709,9.8391959798995,209.897661628988,"Good (Curve Fit)",0.990571062866049,1000,1.7751436537709e-08,7.75076649583956,7.75076649583956
"BCMA_l59_int_1525","interface","BCMA","BCMA",0.6,13.3,97.5,100,100,7.25,6.69,91.5,NA,NA,91.5,NA,NA,93.2,NA,NA,92,89.1,8.05,6.95,7.82,7.57,7.58,91.46,8.05,NA,NA,NA,93.2,84.21,12.6151724137931,NA,NA,NA,NA,84.21,12.6151724137931,91.46,8.05,6.22615659493457,0.291858301153387,6.22615659493457,9.74,207.781533007662,"Good (Curve Fit)",0.954378802999758,1000,6.22615659493457e-09,8.20577996051493,8.20577996051493
"BCMA_l59_int_1568","interface","BCMA","BCMA",1.77,0,1.75,58.6,97.6,81.6,86.7,88.5,NA,NA,92.3,NA,NA,91.1,NA,NA,92.1,89,92.1,90.2,85.5,84,87,90.6,92.1,NA,NA,NA,91.1,9,1.11029411764706,NA,NA,NA,NA,9,1.11029411764706,90.6,92.1,202.814033447183,9.50714270503877,202.814033447183,23.6860068259386,505.288994776536,"Good (Curve Fit)",0.988727580004826,1000,2.02814033447183e-07,6.69290199787019,6.69290199787019
