Line	CD69	Donor	CAR
CAR_alone	3.26	1	UTD
K562	6.67	1	UTD
K562_BCMA	12.9	1	UTD
Raji	16.7	1	UTD
RPMI_8226	24.3	1	UTD
CAR_alone	3.67	1	ABECMA
K562	5.53	1	ABECMA
K562_BCMA	90.2	1	ABECMA
Raji	86.3	1	ABECMA
RPMI_8226	56.9	1	ABECMA
CAR_alone	11.8	1	B5
K562	14.1	1	B5
K562_BCMA	74.9	1	B5
Raji	67.4	1	B5
RPMI_8226	52.4	1	B5
CAR_alone	2.21	1	B2
K562	2.65	1	B2
K562_BCMA	82.1	1	B2
Raji	44.6	1	B2
RPMI_8226	73.9	1	B2
CAR_alone	20.9	1	B4
K562	25.8	1	B4
K562_BCMA	30.6	1	B4
Raji	29	1	B4
RPMI_8226	22	1	B4
CAR_alone	2.35	1	B1
K562	3.93	1	B1
K562_BCMA	2.74	1	B1
Raji	31.3	1	B1
RPMI_8226	7.84	1	B1
CAR_alone	6.72	1	B3
K562	31.9	1	B3
K562_BCMA	32.9	1	B3
Raji	25.3	1	B3
RPMI_8226	16.7	1	B3
CAR_alone	11.8	2	UTD
K562_BCMA	15.7	2	UTD
RPMI_8226	29.5	2	UTD
Raji	18.4	2	UTD
K562	14.9	2	UTD
CAR_alone	14.7	2	ABECMA
K562_BCMA	82.3	2	ABECMA
RPMI_8226	66.1	2	ABECMA
Raji	77.9	2	ABECMA
K562	13.2	2	ABECMA
CAR_alone	18.4	2	B5
K562_BCMA	77.1	2	B5
RPMI_8226	60.7	2	B5
Raji	75.2	2	B5
K562	20.3	2	B5
CAR_alone	8.83	2	B2
K562_BCMA	65.2	2	B2
RPMI_8226	51.8	2	B2
Raji	39.3	2	B2
K562	8.35	2	B2
