UTD	no_binder	abecma	561726_mpnn	298275_mpnn	line	what	replicate
0.06	0	0.35	0.07	0.55	CARalone	TNFa	rep1
0.7	0.26	0.6	0.94	1.08	K562	TNFa	rep1
0.55	0.49	72.73	100	12.72	K562BCMA	TNFa	rep1
0.87	1.13	87.9	78.85	3.26	Raji	TNFa	rep1
0.48	0.47	38.16	63.05	11.72	RPMI8226	TNFa	rep1
0.01	0	0.46	2.65	0.2	CARalone	GranzymeB	rep1
0.07	0.11	0.3	2.19	0.11	K562	GranzymeB	rep1
0.17	0.11	15.58	94.96	3.22	K562BCMA	GranzymeB	rep1
0.18	0.17	13.34	52.16	0.48	Raji	GranzymeB	rep1
1.17	0.93	21.34	100	9.15	RPMI8226	GranzymeB	rep1
0.37	0.17	0.51	2.1	0.37	CARalone	IFNg	rep1
0.26	0.45	0.42	1.5	0.39	K562	IFNg	rep1
0.2	0.24	98.48	99.24	32.94	K562BCMA	IFNg	rep1
0.94	1.51	64.45	77.81	3.29	Raji	IFNg	rep1
3.8	3	79.86	92.34	54.41	RPMI8226	IFNg	rep1
0	0.11	0.43	2.09	0.55	CARalone	IFNg	rep2
0.38	0.21	0.64	1.65	0.53	K562	IFNg	rep2
0.26	0.25	99.52	100	40.61	K562BCMA	IFNg	rep2
0.86	1.01	66.91	71.02	3.43	Raji	IFNg	rep2
5.9	2.09	85.39	100	58.8	RPMI8226	IFNg	rep2
11.7	23.87	24.52	45.56	15.4	CARalone	IL2	rep1
27	26.55	21.29	16.25	0	K562	IL2	rep1
15.87	15.25	83.72	71.15	27.07	K562BCMA	IL2	rep1
12.9	13.02	85.45	45.29	15.52	Raji	IL2	rep1
15.58	29.01	29.47	29.64	39.95	RPMI8226	IL2	rep1
12.26	27.43	30.04	50.9	26.69	CARalone	IL2	rep2
23.56	19.05	21	24.42	37.56	K562	IL2	rep2
17.41	25.55	87.48	100	54.01	K562BCMA	IL2	rep2
17.52	19.47	81.09	50.44	24.44	Raji	IL2	rep2
30.53	25.74	23.99	40.24	26.72	RPMI8226	IL2	rep2
