Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type,is_top_freq_allele
CD19_FMC63,HLA-C1502,4,10,223,scFV,False
CD19_FMC63,HLA-A2603,5,12,220,scFV,False
CD19_FMC63,HLA-A2902,7,6,224,scFV,False
CD19_FMC63,HLA-A3001,5,6,226,scFV,False
CD19_FMC63,HLA-A3002,6,9,222,scFV,False
CD19_FMC63,HLA-A3101,3,6,228,scFV,False
CD19_FMC63,HLA-A3201,0,12,225,scFV,False
CD19_FMC63,HLA-A3207,6,15,216,scFV,False
CD19_FMC63,HLA-A2602,2,14,221,scFV,False
CD19_FMC63,HLA-A3215,4,8,225,scFV,False
CD19_FMC63,HLA-A6601,6,12,219,scFV,False
CD19_FMC63,HLA-A6801,2,2,233,scFV,False
CD19_FMC63,HLA-A6802,4,5,228,scFV,False
CD19_FMC63,HLA-A6823,6,21,210,scFV,False
CD19_FMC63,HLA-A6901,3,8,226,scFV,False
CD19_FMC63,HLA-A8001,7,6,224,scFV,False
CD19_FMC63,HLA-B0702,0,7,230,scFV,True
CD19_FMC63,HLA-A3301,1,4,232,scFV,False
CD19_FMC63,HLA-A2601,2,6,229,scFV,False
CD19_FMC63,HLA-A2501,5,13,219,scFV,False
CD19_FMC63,HLA-A2403,4,10,223,scFV,False
CD19_FMC63,HLA-A0101,1,4,232,scFV,True
CD19_FMC63,HLA-A0201,0,2,235,scFV,True
CD19_FMC63,HLA-A0202,1,5,231,scFV,False
CD19_FMC63,HLA-A0203,2,5,230,scFV,False
CD19_FMC63,HLA-A0205,0,3,234,scFV,False
CD19_FMC63,HLA-A0206,0,2,235,scFV,False
CD19_FMC63,HLA-A0207,0,3,234,scFV,False
CD19_FMC63,HLA-A0211,2,10,225,scFV,False
CD19_FMC63,HLA-A0212,2,8,227,scFV,False
CD19_FMC63,HLA-A0216,1,12,224,scFV,False
CD19_FMC63,HLA-A0217,1,4,232,scFV,False
CD19_FMC63,HLA-A0219,0,5,232,scFV,False
CD19_FMC63,HLA-A0250,4,11,222,scFV,False
CD19_FMC63,HLA-A0301,1,5,231,scFV,True
CD19_FMC63,HLA-A1101,1,4,232,scFV,False
CD19_FMC63,HLA-A2301,2,2,233,scFV,False
CD19_FMC63,HLA-A2402,1,6,230,scFV,False
CD19_FMC63,HLA-B0801,2,3,232,scFV,False
CD19_FMC63,HLA-B0802,2,13,222,scFV,False
CD19_FMC63,HLA-C1402,10,15,212,scFV,False
CD19_FMC63,HLA-B1402,3,11,223,scFV,False
CD19_FMC63,HLA-B5101,2,0,235,scFV,False
CD19_FMC63,HLA-B5301,1,3,233,scFV,False
CD19_FMC63,HLA-B5401,1,1,235,scFV,False
CD19_FMC63,HLA-B5701,0,4,233,scFV,False
CD19_FMC63,HLA-B5801,2,5,230,scFV,False
CD19_FMC63,HLA-B5802,0,4,233,scFV,False
CD19_FMC63,HLA-B8301,1,17,219,scFV,False
CD19_FMC63,HLA-B4801,2,6,229,scFV,False
CD19_FMC63,HLA-C0303,4,8,225,scFV,False
CD19_FMC63,HLA-C0501,3,10,224,scFV,False
CD19_FMC63,HLA-C0602,3,7,227,scFV,False
CD19_FMC63,HLA-C0701,6,9,222,scFV,True
CD19_FMC63,HLA-C0702,5,7,225,scFV,False
CD19_FMC63,HLA-C0802,2,12,223,scFV,False
CD19_FMC63,HLA-C1203,6,12,219,scFV,False
CD19_FMC63,HLA-B0803,3,9,225,scFV,False
CD19_FMC63,HLA-C0401,4,13,220,scFV,False
CD19_FMC63,HLA-B4601,1,4,232,scFV,False
CD19_FMC63,HLA-B7301,5,7,225,scFV,False
CD19_FMC63,HLA-B4403,0,4,233,scFV,False
CD19_FMC63,HLA-B4501,2,2,233,scFV,False
CD19_FMC63,HLA-B1502,8,11,218,scFV,False
CD19_FMC63,HLA-B1503,4,17,216,scFV,False
CD19_FMC63,HLA-B1509,1,17,219,scFV,False
CD19_FMC63,HLA-B1517,2,18,217,scFV,False
CD19_FMC63,HLA-B1801,1,4,232,scFV,False
CD19_FMC63,HLA-B2720,3,13,221,scFV,False
CD19_FMC63,HLA-B3501,3,8,226,scFV,False
CD19_FMC63,HLA-B2705,0,1,236,scFV,False
CD19_FMC63,HLA-B1501,1,6,230,scFV,False
CD19_FMC63,HLA-B3801,0,7,230,scFV,False
CD19_FMC63,HLA-B3901,3,10,224,scFV,False
CD19_FMC63,HLA-B4001,0,6,231,scFV,False
CD19_FMC63,HLA-B4002,0,3,234,scFV,False
CD19_FMC63,HLA-B4013,2,8,227,scFV,False
CD19_FMC63,HLA-B4201,3,7,227,scFV,False
CD19_FMC63,HLA-B4402,2,2,233,scFV,False
CD19_FMC63,HLA-B3503,1,7,229,scFV,False
CD19_l187_int_wildtype,HLA-A3207,1,7,170,de novo,False
CD19_l187_int_wildtype,HLA-A2902,0,1,177,de novo,False
CD19_l187_int_wildtype,HLA-A3001,0,6,172,de novo,False
CD19_l187_int_wildtype,HLA-A3002,1,1,176,de novo,False
CD19_l187_int_wildtype,HLA-A3101,0,3,175,de novo,False
CD19_l187_int_wildtype,HLA-A3201,0,5,173,de novo,False
CD19_l187_int_wildtype,HLA-A3215,1,1,176,de novo,False
CD19_l187_int_wildtype,HLA-B0801,1,4,173,de novo,False
CD19_l187_int_wildtype,HLA-A6601,1,5,172,de novo,False
CD19_l187_int_wildtype,HLA-A6801,1,4,173,de novo,False
CD19_l187_int_wildtype,HLA-A6802,1,1,176,de novo,False
CD19_l187_int_wildtype,HLA-A6823,2,6,170,de novo,False
CD19_l187_int_wildtype,HLA-A6901,2,16,160,de novo,False
CD19_l187_int_wildtype,HLA-A8001,1,8,169,de novo,False
CD19_l187_int_wildtype,HLA-B0702,1,3,174,de novo,True
CD19_l187_int_wildtype,HLA-A2603,0,5,173,de novo,False
