Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type,is_top_freq_allele
CD22_m971,HLA-C1502,3,19,209,scFV,False
CD22_m971,HLA-A2603,8,9,214,scFV,False
CD22_m971,HLA-A2902,1,11,219,scFV,False
CD22_m971,HLA-A3001,2,6,223,scFV,False
CD22_m971,HLA-A3002,5,4,222,scFV,False
CD22_m971,HLA-A3101,1,4,226,scFV,False
CD22_m971,HLA-A3201,6,8,217,scFV,False
CD22_m971,HLA-A3207,6,15,210,scFV,False
CD22_m971,HLA-A2602,4,10,217,scFV,False
CD22_m971,HLA-A3215,6,12,213,scFV,False
CD22_m971,HLA-A6601,7,10,214,scFV,False
CD22_m971,HLA-A6801,2,3,226,scFV,False
CD22_m971,HLA-A6802,0,5,226,scFV,False
CD22_m971,HLA-A6823,8,12,211,scFV,False
CD22_m971,HLA-A6901,2,5,224,scFV,False
CD22_m971,HLA-A8001,4,7,220,scFV,False
CD22_m971,HLA-B0702,2,4,225,scFV,True
CD22_m971,HLA-A3301,4,3,224,scFV,False
CD22_m971,HLA-A2601,1,6,224,scFV,False
CD22_m971,HLA-A2501,6,11,214,scFV,False
CD22_m971,HLA-A2403,2,9,220,scFV,False
CD22_m971,HLA-A0101,2,4,225,scFV,True
CD22_m971,HLA-A0201,0,1,230,scFV,True
CD22_m971,HLA-A0202,1,0,230,scFV,False
CD22_m971,HLA-A0203,0,4,227,scFV,False
CD22_m971,HLA-A0205,2,3,226,scFV,False
CD22_m971,HLA-A0206,0,8,223,scFV,False
CD22_m971,HLA-A0207,0,2,229,scFV,False
CD22_m971,HLA-A0211,0,10,221,scFV,False
CD22_m971,HLA-A0212,1,9,221,scFV,False
CD22_m971,HLA-A0216,0,9,222,scFV,False
CD22_m971,HLA-A0217,1,3,227,scFV,False
CD22_m971,HLA-A0219,0,3,228,scFV,False
CD22_m971,HLA-A0250,1,11,219,scFV,False
CD22_m971,HLA-A0301,1,3,227,scFV,True
CD22_m971,HLA-A1101,1,3,227,scFV,False
CD22_m971,HLA-A2301,2,4,225,scFV,False
CD22_m971,HLA-A2402,1,5,225,scFV,False
CD22_m971,HLA-B0801,0,1,230,scFV,False
CD22_m971,HLA-B0802,0,13,218,scFV,False
CD22_m971,HLA-C1402,5,15,211,scFV,False
CD22_m971,HLA-B1402,1,8,222,scFV,False
CD22_m971,HLA-B5101,0,2,229,scFV,False
CD22_m971,HLA-B5301,1,8,222,scFV,False
