Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type
CD19_l112_nonint_2659,HLA-A0101,0,2,102,de novo
CD19_l112_nonint_2659,HLA-A0201,2,2,100,de novo
CD19_l112_nonint_2659,HLA-A0202,1,5,98,de novo
CD19_l112_nonint_2659,HLA-A0203,0,2,102,de novo
CD19_l112_nonint_2659,HLA-A0205,0,2,102,de novo
CD19_l112_nonint_2659,HLA-A0206,1,5,98,de novo
CD19_l112_nonint_2659,HLA-A0207,2,2,100,de novo
CD19_l112_nonint_2659,HLA-A0211,4,4,96,de novo
CD19_l112_nonint_2659,HLA-A0212,2,3,99,de novo
CD19_l112_nonint_2659,HLA-A0216,2,5,97,de novo
CD19_l112_nonint_2659,HLA-A0217,1,3,100,de novo
CD19_l112_nonint_2659,HLA-A0219,3,3,98,de novo
CD19_l112_nonint_2659,HLA-A0250,2,9,93,de novo
CD19_l112_nonint_2659,HLA-A0301,0,1,103,de novo
CD19_l112_nonint_2659,HLA-A1101,0,1,103,de novo
CD19_l112_nonint_2659,HLA-A2301,0,1,103,de novo
CD19_l112_nonint_2659,HLA-A2402,0,1,103,de novo
CD19_l112_nonint_2659,HLA-A2403,1,2,101,de novo
CD19_l112_nonint_2659,HLA-A2501,1,7,96,de novo
CD19_l112_nonint_2659,HLA-A2601,1,7,96,de novo
CD19_l112_nonint_2659,HLA-A2602,3,5,96,de novo
CD19_l112_nonint_2659,HLA-A2603,3,6,95,de novo
CD19_l112_nonint_2659,HLA-A2902,0,3,101,de novo
CD19_l112_nonint_2659,HLA-A3001,2,2,100,de novo
CD19_l112_nonint_2659,HLA-A3002,1,2,101,de novo
CD19_l112_nonint_2659,HLA-A3101,0,0,104,de novo
CD19_l112_nonint_2659,HLA-A3201,0,3,101,de novo
CD19_l112_nonint_2659,HLA-A3207,3,2,99,de novo
CD19_l112_nonint_2659,HLA-A3215,0,3,101,de novo
CD19_l112_nonint_2659,HLA-A3301,0,1,103,de novo
CD19_l112_nonint_2659,HLA-A6601,2,5,97,de novo
CD19_l112_nonint_2659,HLA-A6801,1,2,101,de novo
CD19_l112_nonint_2659,HLA-A6802,2,1,101,de novo
