Original_ID,Allele,Strong Binder,Weak Binder,None,binder_type,is_top_freq_allele
BCMA_l59_int_0113,HLA-A0101,1,1,49,de novo,True
BCMA_l59_int_0113,HLA-A0201,0,0,51,de novo,True
BCMA_l59_int_0113,HLA-A0202,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0203,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0205,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A0206,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0207,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A0211,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-A0212,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A0216,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0217,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0219,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-A0250,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-A0301,0,1,50,de novo,True
BCMA_l59_int_0113,HLA-A1101,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A2301,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-A2402,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-A2403,2,1,48,de novo,False
BCMA_l59_int_0113,HLA-A2501,2,2,47,de novo,False
BCMA_l59_int_0113,HLA-A2601,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-A2602,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-A2603,1,0,50,de novo,False
BCMA_l59_int_0113,HLA-A2902,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-A3001,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-A3002,1,1,49,de novo,False
BCMA_l59_int_0113,HLA-A3101,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A3201,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-A3207,1,3,47,de novo,False
BCMA_l59_int_0113,HLA-A3215,0,4,47,de novo,False
BCMA_l59_int_0113,HLA-A3301,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-A6601,2,5,44,de novo,False
BCMA_l59_int_0113,HLA-A6801,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A6802,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A6823,1,5,45,de novo,False
BCMA_l59_int_0113,HLA-A6901,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-A8001,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-B0702,0,2,49,de novo,True
BCMA_l59_int_0113,HLA-B0801,0,4,47,de novo,False
BCMA_l59_int_0113,HLA-B0802,2,10,39,de novo,False
BCMA_l59_int_0113,HLA-B0803,1,4,46,de novo,False
BCMA_l59_int_0113,HLA-B1402,1,3,47,de novo,False
BCMA_l59_int_0113,HLA-B1501,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-B1502,1,1,49,de novo,False
BCMA_l59_int_0113,HLA-B1503,1,4,46,de novo,False
BCMA_l59_int_0113,HLA-B1509,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B1517,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B1801,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B2705,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B2720,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-B3501,1,1,49,de novo,False
BCMA_l59_int_0113,HLA-B3503,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-B3801,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B3901,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B4001,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B4002,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B4013,1,2,48,de novo,False
BCMA_l59_int_0113,HLA-B4201,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-B4402,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B4403,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B4501,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B4601,0,3,48,de novo,False
BCMA_l59_int_0113,HLA-B4801,1,1,49,de novo,False
BCMA_l59_int_0113,HLA-B5101,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-B5301,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-B5401,1,0,50,de novo,False
BCMA_l59_int_0113,HLA-B5701,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B5801,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-B5802,1,1,49,de novo,False
BCMA_l59_int_0113,HLA-B7301,1,3,47,de novo,False
BCMA_l59_int_0113,HLA-B8301,1,4,46,de novo,False
BCMA_l59_int_0113,HLA-C0303,0,1,50,de novo,False
BCMA_l59_int_0113,HLA-C0401,2,3,46,de novo,False
BCMA_l59_int_0113,HLA-C0501,0,2,49,de novo,False
BCMA_l59_int_0113,HLA-C0602,1,6,44,de novo,False
BCMA_l59_int_0113,HLA-C0701,1,7,43,de novo,True
BCMA_l59_int_0113,HLA-C0702,2,3,46,de novo,False
BCMA_l59_int_0113,HLA-C0802,0,0,51,de novo,False
BCMA_l59_int_0113,HLA-C1203,0,5,46,de novo,False
BCMA_l59_int_0113,HLA-C1402,2,3,46,de novo,False
BCMA_l59_int_0113,HLA-C1502,0,1,50,de novo,False
BCMA_l59_int_0480,HLA-A0101,0,2,49,de novo,True
BCMA_l59_int_0480,HLA-A0201,0,0,51,de novo,True
BCMA_l59_int_0480,HLA-A0202,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0203,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0205,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0206,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0207,0,1,50,de novo,False
BCMA_l59_int_0480,HLA-A0211,0,1,50,de novo,False
BCMA_l59_int_0480,HLA-A0212,0,1,50,de novo,False
BCMA_l59_int_0480,HLA-A0216,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0217,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0219,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A0250,0,2,49,de novo,False
BCMA_l59_int_0480,HLA-A0301,0,1,50,de novo,True
BCMA_l59_int_0480,HLA-A1101,0,1,50,de novo,False
BCMA_l59_int_0480,HLA-A2301,0,3,48,de novo,False
BCMA_l59_int_0480,HLA-A2402,1,2,48,de novo,False
BCMA_l59_int_0480,HLA-A2403,2,1,48,de novo,False
BCMA_l59_int_0480,HLA-A2501,2,2,47,de novo,False
BCMA_l59_int_0480,HLA-A2601,1,1,49,de novo,False
BCMA_l59_int_0480,HLA-A2602,1,3,47,de novo,False
BCMA_l59_int_0480,HLA-A2603,0,2,49,de novo,False
BCMA_l59_int_0480,HLA-A2902,1,2,48,de novo,False
BCMA_l59_int_0480,HLA-A3001,2,1,48,de novo,False
BCMA_l59_int_0480,HLA-A3002,0,2,49,de novo,False
BCMA_l59_int_0480,HLA-A3101,0,0,51,de novo,False
BCMA_l59_int_0480,HLA-A3201,0,2,49,de novo,False
BCMA_l59_int_0480,HLA-A3207,1,4,46,de novo,False
BCMA_l59_int_0480,HLA-A3215,0,2,49,de novo,False
